gene	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28
RNF11	0.021272696332292056	0.02127269633229158	0.021272696332291865	0.021270117178099075	0.021270117178099256	0.021270117178098947	0.021272696332292115	0.021270117178099526	0.021270524738780203	0.021270117178098777	0.021272696332291983	0.021270524738779516	0.02127011717809961	0.02127269633229172	0.021272696332291823	0.02127011717809927	0.0212701171780994	0.021270524738779713	0.021270524738779873	0.02127011717809946	0.02127052473877971	0.021272696332291834	0.02127011717809933	0.021272696332291972	0.02127052473877963	0.021272696332292014	0.021272696332292215	0.021272696332291872	0.021272696332292073
PRPF38A	0.02307259400883066	0.023072594008830268	0.023072594008830546	0.023068741487196884	0.02306874148719698	0.02306874148719682	0.023072594008830646	0.023068741487197134	0.02306570910365114	0.02306874148719677	0.02307259400883066	0.0230657091036506	0.023068741487197224	0.023072594008830504	0.02307259400883043	0.023068741487196953	0.023068741487197095	0.02306570910365074	0.023065709103650866	0.02306874148719712	0.023065709103650592	0.023072594008830535	0.02306874148719708	0.023072594008830553	0.023065709103650665	0.023072594008830615	0.023072594008830792	0.023072594008830508	0.023072594008830632
PODN	0.021648682246697328	0.02164868224669699	0.02164868224669733	0.021652456344701383	0.021652456344701677	0.0216524563447014	0.021648682246697533	0.021652456344701802	0.021643331354984696	0.021652456344701237	0.02164868224669742	0.02164333135498364	0.021652456344701875	0.021648682246697276	0.02164868224669718	0.0216524563447014	0.021652456344701622	0.021643331354983947	0.021643331354984183	0.021652456344701684	0.021643331354983912	0.021648682246697196	0.021652456344701535	0.0216486822466975	0.021643331354983742	0.021648682246697453	0.02164868224669803	0.02164868224669738	0.02164868224669744
SLC1A7	0.033227631976070725	0.03322763197607125	0.033227631976070766	0.033230575731357875	0.03323057573135741	0.03323057573135761	0.033227631976070406	0.03323057573135753	0.033227273246271845	0.03323057573135783	0.033227631976070704	0.0332272732462734	0.03323057573135737	0.033227631976070635	0.03322763197607099	0.03323057573135811	0.033230575731357646	0.033227273246272816	0.03322727324627285	0.0332305757313576	0.03322727324627344	0.0332276319760709	0.033230575731357744	0.03322763197607054	0.03322727324627332	0.03322763197607053	0.03322763197606974	0.033227631976070676	0.03322763197607067
TMEM61	0.02125293262184567	0.02125293262184543	0.02125293262184581	0.021259500352188102	0.02125950035218871	0.02125950035218831	0.021252932621846177	0.02125950035218854	0.021264350118150623	0.021259500352187967	0.021252932621845803	0.02126435011814904	0.021259500352188567	0.021252932621845768	0.021252932621845626	0.021259500352187852	0.02125950035218822	0.02126435011814956	0.02126435011814978	0.021259500352188362	0.021264350118149596	0.02125293262184556	0.021259500352188068	0.021252932621846132	0.02126435011814926	0.02125293262184598	0.02125293262184693	0.02125293262184596	0.02125293262184589
USP24	0.03275641197300386	0.03275641197300433	0.03275641197300401	0.03275111052981216	0.032751110529811917	0.032751110529812236	0.03275641197300375	0.032751110529811674	0.032755735530453786	0.03275111052981238	0.03275641197300389	0.03275573553045469	0.032751110529811604	0.032756411973004114	0.032756411973004045	0.03275111052981201	0.032751110529811805	0.032755735530454494	0.032755735530454286	0.032751110529811764	0.0327557355304545	0.03275641197300409	0.032751110529811896	0.03275641197300387	0.032755735530454584	0.03275641197300382	0.0327564119730035	0.03275641197300396	0.03275641197300376
PRKAA2	0.030335243576052412	0.03033524357605266	0.030335243576052405	0.030336124533906838	0.03033612453390655	0.03033612453390667	0.03033524357605219	0.030336124533906682	0.030328680847227167	0.030336124533906765	0.03033524357605235	0.030328680847228093	0.03033612453390657	0.030335243576052294	0.030335243576052523	0.030336124533907056	0.030336124533906737	0.03032868084722774	0.030328680847227833	0.030336124533906713	0.030328680847228173	0.03033524357605248	0.030336124533906807	0.030335243576052204	0.030328680847228118	0.03033524357605227	0.030335243576051725	0.030335243576052325	0.030335243576052367
LEPROT	0.032549454849252715	0.0325494548492532	0.03254945484925303	0.03254226174692012	0.032542261746920015	0.03254226174692045	0.03254945484925285	0.03254226174691957	0.032545871788924714	0.032542261746920556	0.032549454849252854	0.032545871788925304	0.03254226174691958	0.03254945484925326	0.032549454849252944	0.032542261746919765	0.032542261746919696	0.03254587178892533	0.03254587178892491	0.03254226174691967	0.03254587178892498	0.03254945484925303	0.032542261746919786	0.032549454849252916	0.03254587178892511	0.03254945484925286	0.032549454849252854	0.032549454849253014	0.03254945484925265
RPE65	0.03355120934194261	0.03355120934194315	0.033551209341942764	0.03354045271138094	0.03354045271138065	0.033540452711381	0.03355120934194248	0.03354045271138042	0.03353913817286995	0.033540452711381175	0.03355120934194263	0.0335391381728711	0.033540452711380356	0.03355120934194282	0.03355120934194288	0.03354045271138084	0.03354045271138057	0.0335391381728708	0.033539138172870554	0.03354045271138052	0.03353913817287088	0.03355120934194284	0.033540452711380654	0.03355120934194259	0.03353913817287095	0.03355120934194255	0.03355120934194209	0.03355120934194273	0.03355120934194253
RABGGTB	0.031237626150779196	0.031237626150779612	0.031237626150779196	0.0312351432829294	0.031235143282929034	0.031235143282929187	0.0312376261507789	0.0312351432829292	0.031229989701384235	0.031235143282929284	0.031237626150779133	0.031229989701385307	0.031235143282929066	0.031237626150779043	0.031237626150779425	0.031235143282929565	0.031235143282929253	0.03122998970138485	0.031229989701384995	0.031235143282929187	0.031229989701385415	0.031237626150779255	0.031235143282929298	0.031237626150779064	0.03122998970138529	0.031237626150779053	0.03123762615077841	0.03123762615077918	0.031237626150779185
PALMD	0.03257515324332397	0.032575153243324384	0.03257515324332411	0.03258705682220712	0.032587056822206764	0.03258705682220708	0.03257515324332387	0.032587056822206695	0.03259036712565909	0.03258705682220724	0.03257515324332401	0.03259036712566027	0.03258705682220664	0.03257515324332423	0.03257515324332417	0.032587056822207146	0.03258705682220687	0.032590367125659915	0.03259036712565976	0.032587056822206834	0.03259036712566012	0.03257515324332421	0.03258705682220693	0.03257515324332394	0.03259036712566017	0.032575153243323926	0.032575153243323565	0.03257515324332407	0.032575153243323864
GPR88	0.026545892842252103	0.026545892842252058	0.026545892842252256	0.02653985152599654	0.02653985152599663	0.026539851525996798	0.02654589284225224	0.02653985152599643	0.026531575271598464	0.026539851525996777	0.026545892842252262	0.026531575271598044	0.02653985152599651	0.026545892842252464	0.02654589284225209	0.026539851525996288	0.026539851525996423	0.026531575271598353	0.026531575271598107	0.02653985152599645	0.02653157527159779	0.02654589284225224	0.026539851525996454	0.026545892842252273	0.026531575271598024	0.02654589284225223	0.026545892842252648	0.026545892842252273	0.026545892842252092
