gene	S0	S1	S2	S3	S4	S5	S6
LRRC53	3.9949546186992593	4.740633967612885	7.1225940844676146	5.364085519720243	0.5289577589299475	11.66019508914857	2.220446049250313e-16
SYDE2	6.259392161452069	8.458861963983793	7.193306566772378	2.220446049250313e-16	3.677518109999534	6.2337523695328585	1.4142582674194557
C1orf52	2.4223908602342	6.871251739694099	4.276373415921828	5.892624131728838	4.0806523130417425	8.270381750706855	2.879922410029345
DIPK1A	3.6484966571192197	9.47949079789889	2.220446049250313e-16	5.6794638081334785	0.9244358935129204	5.468793069560631	10.330892300844503
FNBP1L	2.6179331379108093	8.16314969615474	3.6283134109315345	7.9990116899728205	2.220446049250313e-16	10.37054842995444	1.8356364175279412
SLC25A24	3.3405852021607165	5.948907802302369	3.9279990893413377	5.03002320421459	3.4176254259142063	7.541451955590959	5.582269292484029
STRIP1	4.422095308548698	2.220446049250313e-16	8.2916243448351	4.2653648344175785	5.9679222403633	2.220446049250313e-16	12.143874664442162
CAPZA1	2.220446049250313e-16	2.2014074688849155	13.663803343792734	3.740320890191727	9.671282989887473	1.1631197594961584	3.605288450989412
LRIG2	4.539050448283476	3.590785270746112	7.345437843124618	1.5739167412557724	0.13586224618602127	8.485636559938232	7.990919417393409
OLFML3	3.157879000199091	7.181285305705524	3.4973689990787253	9.56733795190387	0.8275863442311007	3.6686508506433255	7.264318436885547
TRIM33	2.220446049250313e-16	7.4201657120231115	2.220446049250313e-16	3.440475544665153	17.58617832131079	5.071847790067936	3.2630680679598925
RNF115	7.909625192042912	0.24015803474178377	3.476294325048107	2.220446049250313e-16	14.7648151312846	6.207985119219426	2.004534648572958
CHD1L	2.796683955920828	3.0933388802647688	5.262228550639556	5.798745147813653	9.585690324530278	5.831794608696395	2.6248001853185174
CIART	2.804644841576663	2.220446049250313e-16	9.539815212424324	4.382976955793405	12.590293875396338	5.012114661833414	2.220446049250313e-16
GOLPH3L	0.7725085445997631	7.9068898591989	10.180344053551526	5.005466710955265	2.220446049250313e-16	9.331358984997562	0.07588482444814382
RFX5	1.981207076513557	9.388062166088316	2.220446049250313e-16	8.460331875213761	4.7589147653505055	10.270716025165758	0.5960474222664889
OAZ3	0.9000954324594468	5.245083514355198	10.532649673571218	6.129726565294526	2.220446049250313e-16	9.002296225931053	1.6526389101989043
LMNA	5.183100947841692	9.730365021452023	3.8560690216332434	3.5924761074210485	2.314614464752349	9.091592736887891	2.220446049250313e-16
NES	1.2607272678683685	2.412155803741241	3.99793119962839	8.179451710297187	3.804394160728747	8.885481193404024	7.0438558852540964
TMCO1	2.261581800456709	1.37932402861059	8.11906983110671	2.5065780269672135	9.838380550506047	1.6475890578391144	9.341043318442543
RCSD1	9.314457605040195	1.2274038493338235	2.52691409276146	2.692858492973917	14.441491058183292	3.333255719859129	1.2010968244014975
SCYL3	4.095672806339768	7.4612637299381195	4.181779269386568	7.9573601916949555	2.220446049250313e-16	7.539336913002576	3.089842376759436
ANGPTL1	1.1008121335741339	7.044078789249111	6.946714869127311	6.265734971095653	1.1344081647201723	2.5404699801062893	9.786092485495775
PTGS2	8.768057380636154	2.220446049250313e-16	4.139417552317868	2.220446049250313e-16	9.235856384557058	7.450358828735611	4.557134160571932
KDM5B	6.09935532174722	3.6151499644621605	10.646831331910459	5.226260634544195	2.220446049250313e-16	7.25493910087253	2.220446049250313e-16
MRPL55	0.6654704279974267	3.8989666013108053	0.5770348847635534	4.202025598296907	11.017754127786645	7.279693579878524	8.93275257566497
KCNK1	4.95212336389642	9.15717224166483	6.578152796634659	10.639641597338326	1.3333903378489564	0.7834463200931694	0.4647301209880368
WDR64	2.4334158660086196	4.694230440548743	10.659026734107481	5.455007834452033	2.220446049250313e-16	10.063574034382107	2.220446049250313e-16
SNTG2	7.540878486733996	4.405242353715767	6.751246685011181	4.791603860776744	2.220446049250313e-16	2.220446049250313e-16	10.604030323966235
KLF11	2.220446049250313e-16	4.893202620202289	5.866775486112568	10.75539981277648	2.251690988149039	7.41301119955628	4.03871828364731
GREB1	2.220446049250313e-16	0.8758579223530327	2.3952759641493326	6.076102396834092	7.363630461759138	5.84973286895132	14.283062373348603
NTSR2	6.826960909559732	3.552152305480206	1.7139639373566196	7.926262288859673	5.545414359767617	2.220446049250313e-16	10.068504581906804
CENPO	1.3760685310495304	6.26390789687083	8.11244175819167	2.220446049250313e-16	0.9428381984066441	8.639152188350524	8.650705968857814
ADGRF3	2.171136844627531	5.381375034648922	2.99849408288728	8.120631452052397	2.817775515641791	7.06762821083789	6.9261438911947275
FAM166C	2.220446049250313e-16	4.742309707931188	9.02612138470928	1.0154591857937634	5.899551499564739	4.670455360363908	9.470942031294314
KRTCAP3	6.1317776160722675	5.166055768092127	6.60523560268347	5.178064582888692	2.220446049250313e-16	10.08094708968325	0.0888841435118417
TOGARAM2	4.9402864406726925	3.2911490256364786	4.4321224112868265	2.220446049250313e-16	5.7895575117576605	3.293344594059053	13.266883337393539
PKDCC	1.7113148688013051	8.313235040197059	3.651257656934906	5.379248783961885	0.3432499341758879	5.133719478684937	10.605214454420912
HAAO	3.4865618397210105	8.158792196873375	5.847935396471755	4.0908726304537515	2.220446049250313e-16	6.0978247129074745	6.621614412244848
