	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
1243685	0.005587778083147675	0.02066981860194642	0.016335605742454403	0.024394875681437635	0.0	0.00899441189751805	0.0	0.01725995353232357	0.011284991421582678	0.00940733022892384	0.0	0.0	0.0023744567510071827	0.0029091037373931384	0.0	0.0	0.0	0.0	0.0	0.0
14498577	0.013348869593799566	0.01049111695104264	0.004866514975581921	0.014449933821917928	0.014460005896713462	0.010015333661291157	0.0125948686120352	0.0	0.001042580105380383	0.0	0.004869496066043679	0.009938550758260188	0.004420102417379432	0.0031275800620073377	0.004717411795060824	0.0	0.006284799246065328	0.007710381196811314	0.006202249612116218	0.0018764880960907577
14641578	0.004101468888024011	0.0	0.012768584847237195	0.0026277731226440654	0.013965558773978372	0.005177510896965138	0.011499538450861964	0.0	0.017435062527186497	0.001213333226178106	0.005537948176847577	0.0	0.004497327579949783	0.015561342457119223	0.004028923363335698	0.0	0.016240086462092903	0.003774399942553821	0.0045394173280297314	0.01444979581383502
15387421	0.016305257403699695	0.0	0.0	0.0	0.0035680640667398083	0.0	0.006138103641715489	0.0	0.0013888521897404433	0.0	0.024849596280405697	0.003959545843585319	0.0	0.005466331240689287	0.020861728039119756	0.02265301643184976	0.001733322138796984	0.0	0.0	0.009259830157985437
18414513	0.013555712133506138	0.028159314838592846	0.014162634628375081	0.022098848150201845	0.0	0.0	0.006038594164518971	0.010308302626974162	0.00479167036198961	0.005634948470738422	0.0	0.0	0.004630561965220142	0.0	0.009990050033759783	0.0	0.009972182055948856	0.009324664833939934	0.001971741859238593	0.004788341143272316
20112377	0.008927497951090017	0.010988520703045577	0.00787231673262652	0.015716404881259943	0.0021950272788939067	0.0	0.0	0.0038083735172186194	0.013023831283935928	0.0009321270208345633	0.0	0.006080703165544229	0.006537691601588776	0.015389349533534833	0.010516789099061093	0.013946940011377614	0.0	0.0	0.007978518951039168	0.0
20120255	0.0	0.0	0.0	0.0	0.005092738281564956	0.014464996846500378	0.0	0.0	0.0	0.0	0.019951584484233845	0.0296632576541524	0.0	0.0	0.0004182574456149654	0.03237160963287705	0.0	0.0	0.0	0.0
20124619	0.02831654047244303	0.0	0.0	0.0	0.03549609281352421	0.0	0.0	0.031722614119889456	0.0	0.007510892827611096	0.0008489588849598824	6.431608944569343e-05	0.0	0.0	0.0	0.0	0.03931469661036311	0.007893036850780364	0.0	0.0
20139562	0.01630291564311153	0.00021827802921122206	0.0	0.0	0.0050401174947999755	0.005396422124156155	0.0	0.0	0.02621288081705779	0.0	0.012962551561799714	0.009252841498426981	0.0	0.0031398683493747254	0.004340925877948814	0.02142742381657148	0.0	0.004207030203454585	0.0	0.012875571011876707
20147440	0.008378638801513846	0.018292246654861538	0.0	0.01641348707273515	0.00749521360385628	0.0	0.007598206251864826	0.002523567038801641	0.007771720195873496	0.0	6.53566678157537e-05	0.0	0.007518354753215436	0.005216555727272205	0.02132953275400454	0.014458865895459623	0.006121423831474986	0.0	0.0	0.004169410063285227
20152393	1.0419850997579157e-06	0.002885582494225752	0.009674609281820706	0.0	0.009051848130463528	0.0	0.011402767921319968	0.0	0.017985170602032557	0.04629988335477427	0.0003553354931704466	0.0	0.0012672979232906136	0.0	0.007579600380436556	0.006424744563029831	0.00943291954407026	0.006204237706385711	0.0016449709268689387	0.002495931397879157
