	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27
AGO4	0.0002936055378920409	0.0	0.0	0.00032096753059356384	0.0	0.0	0.0016365996329295999	0.001180157448331855	0.002046514719059514	0.0	0.0016635521655882102	0.0017722373950667196	0.002174244371135511	0.0	4.553889958177987e-06	0.00045654925999017576	0.000668591936334017	0.00020672326938161198	0.0012067171892079385	0.0019990163648113974	0.0005194559768686323	0.0008001968717806473	0.0009898636206396353	0.00030013343127429753	0.002104988469650837	0.0015403996710446077	0.0004119556942730617
AGO1	0.0008102897633499068	0.0	0.0003332696932535326	0.0	0.0001485428771127924	0.00012055839441705763	0.0002532341481005485	0.000953251634433263	0.0026012046873575426	0.0016785720062711786	0.0017760229938572232	0.0016328418514503895	0.0019787421607726017	0.00036390028122123744	0.0	0.0018781804486217393	0.00017424270272414056	0.0	0.001012789727365698	0.00173857812303453	0.0011897033698109246	0.00016567748237710867	0.00014534481895241835	0.0006297818256063063	0.0	0.0	0.00030134218061841553
AGO3	0.0007129126993508274	0.0	0.0	0.0	0.0	0.0	0.00039032413922317997	0.00038207307733533407	0.001184955131985661	0.0017434921472063044	0.0014441729056284022	0.0012258148313846586	0.003252518469151705	0.0010817793106853116	0.0	0.0019545668963955273	0.0016798879443368933	0.0	0.000930402525102363	0.0014914387343102362	8.502283806016758e-06	0.00013932043140124056	4.555878043635947e-05	0.0016014342419484377	0.0	0.0020107720236451332	0.0006296591974696135
TRAPPC3	0.0	0.00016750986308489596	0.0005995654309888798	0.0014437168567899405	0.0	0.0022524511731826105	0.0	0.0011156668888706925	0.0	0.0	0.0014381233459782544	0.0	0.0	0.0017253349922159177	0.0010565741775074645	0.0026348994388523906	0.0	0.0009446342953098924	0.0020584480700911534	0.00020129310940476976	0.002557518265882125	0.0	0.0013991579759320921	0.0006125129289714829	0.00010942197538980919	0.0	0.0002736343331890957
MEAF6	0.0	0.0017622802167092467	4.409816440903508e-05	0.0013800812802289603	0.0	0.0	0.0007816458920399782	0.0015571302523275017	0.0	0.0011181639913978973	0.0007387380706402463	0.0	0.0001674290514872663	0.0005941824476198894	0.00023576221168888776	0.0016391784938444409	0.0009525783348017929	0.001361931548660432	0.0005639395434930235	0.0009553417807101711	0.002747352810600156	0.00032119831844141204	0.0008899207038073694	0.0011936696490688547	0.00026165892536701696	0.0014093479730477663	0.0015180073046573018
HEYL	0.0002355887649687039	0.0	0.0	0.0002927525798057399	0.0	0.0	0.0019857702093350913	0.001682574893662997	0.002582445269714414	0.0008920757755259207	0.0012545396617822141	0.0015821464128976171	0.0024059636685073134	0.0	0.0009714541928797766	0.0011307053133738083	0.0010342850731853588	0.0	0.00028922072736354073	0.0011279351929170246	0.001039126188270292	0.0	0.00032788798008685647	0.00011981104582214298	0.00085524884359608	0.0	0.0011229960713470366
SMAP2	0.0	0.0018088926012013438	2.7600072255734338e-05	0.0017246444646556343	0.0012343318144926638	0.0004094273033617133	0.00031039541608817085	0.0005135374130068848	0.0007657058397411307	0.0	0.000814339546422116	0.0	0.000281778749198457	0.0013279639745323556	0.0013236209037150956	0.0014151577626532075	0.000561248814591804	0.0009850243385921412	0.0006746895539941296	0.0003915594137898687	0.0012472572581964268	0.0	0.001338773439584988	0.0010999659016247955	0.0015231245385001367	0.0	0.0008253122848779642
CITED4	0.0011273012236250922	0.0010517656883797218	0.001769912928655205	0.0006254701045449504	0.0026310624166868165	0.0	7.335269401689845e-05	0.0011819001037908768	0.001047595367751833	0.0014493400297323634	0.00025800142818100503	0.001051373190544713	3.9169290666766024e-05	0.0003060470346737337	0.00048153315371993145	0.0	0.0	0.0	0.0012471045616300807	0.0006567993761279142	0.0	0.0018315173808972512	0.001870037732322052	0.0	0.0	0.0	0.0
ERMAP	0.0011296597099445104	0.00026756383102334385	0.0018471642324682175	0.0	0.00023103507299013112	0.0004972913230425389	0.0	0.0	0.0	0.0018746815087686297	0.001145176240332188	0.0015195598790738907	0.0005528259078541332	0.0007342572120366533	0.0	0.0	0.0007931465146583458	0.0007361632955225166	0.0	0.002314369930493398	0.001930070259611707	0.0013261116064466336	0.0	0.0013553081409306482	0.0011984368419869205	0.002117415173425319	0.0003490937372738371
ZNF691	0.0017202371113740956	0.0	0.0	0.0	0.0	0.0009920434040062533	0.0009460744639333841	9.886397991663933e-05	0.0008134117185421083	0.0015574578358542323	0.002629774908874756	0.0015581508233969443	0.0011241217368931178	0.0005206437042945691	0.00025059371861134823	0.0021717109914440136	0.0013722560817790261	0.0	0.0	0.0006242721269864443	0.0010163142933404207	0.0002656962413306996	0.0002647699717930958	0.00019819134883887346	0.0	0.0017550263503234573	0.0007195477887735764
DPH2	0.0010139962072483707	0.0016682029359400023	0.001023497461606986	0.0011447913508837771	0.0032214460579479453	0.0	0.0006997614005301772	0.0	0.0004367443541180933	0.0	0.0006272568984688243	0.0002919796586827265	0.0	0.0013115141709375791	0.0009720962477604385	0.0003238169342203949	0.001630625546074938	0.0004023749535782295	0.001286849928378912	0.0	0.0006570905977386564	0.0	0.0002945871144564504	5.095165818369657e-06	0.0013615665718825617	0.0	0.0005754863187420971
