	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19
ESRRA	0.002230208573531463	0.0005392746155774912	0.0003249964944195973	0.0023230374639462243	0.0	0.0009784174531324952	0.006496273387903249	0.0	0.0	0.0039830705046230075	0.0015497618067220435	0.002885839456059542	0.0009431363376473258	0.000423713310852713	0.0002355164381607059	0.004039276338648138	0.001702689997214618	0.0020060529174791247	0.0018658914290041282
CCDC88B	0.001373963244941125	0.00352574868196325	0.0001553020998401952	0.003061887797581324	0.002949222271532835	0.0	0.00029467787566101806	0.0008207961553823447	0.001511580116430838	0.0002733386715309877	0.0024200649775017965	0.004322071122573324	0.0	0.0019135537214439574	0.0016626351066572236	0.001394839411974698	0.0037534195697936108	0.0007651811427667971	0.0007374064871512808
VPS51	0.0	0.0006634530735422278	0.0027528941515276278	0.0006878872664166242	0.0011734830234404862	0.0022382437180811284	0.0	0.0	0.0038891911636974572	0.003447809574553088	0.0016716151146707705	0.0014128243221777006	0.004883769714654199	0.0024229306995450345	0.0007342305634819099	0.003285075045231724	0.001963596326598882	0.0007977201521646547	0.0007650043009281637
TIGD3	0.0	0.0	0.0034354684706154734	0.0018580082896168346	0.004147956358174138	0.002417497769726961	0.0005818315981775765	0.0	0.0007332415424737345	0.0032030021943918576	0.0002631018782255363	0.0005752797333828921	0.0008808451778553463	0.003944802115450476	0.0010665615707710911	0.0009014515200948939	0.004412637053355892	0.001708328474499212	0.002267643779564134
SIPA1	0.0010673121071080106	0.00300695355786651	0.00027611973977328903	0.0035135800527759387	0.0008982838851669308	0.0	0.0009010113398029103	0.005344495963457964	0.0021491446014553148	0.002365817367596692	6.623947396978927e-05	0.0	0.0020010307774876923	0.003368021779283633	0.0	0.0010673865377158842	0.0	0.0038069794156011852	0.002069589777728371
PACS1	0.0025740663466979684	0.0027690409297254793	2.8327891529691836e-05	0.002907189710974504	0.0002772932396751546	0.001991861611616394	0.0005981975285363623	0.0007248139328372696	0.001159228192992043	0.00036393423079055757	0.003373317818718293	0.0014712216259291783	0.001424101789419271	0.00236225197223427	0.004161725844181573	0.0006296814453768888	0.00150974160109249	0.0007559427343795798	0.0023247630477818784
RIN1	0.0024751695881723877	0.0014835316670449696	0.0	0.0004232837970223596	0.0006664480872884451	0.0	0.0027515877285210605	0.0015596775628766767	0.0033799381312680883	0.004983789522419094	0.0037594962894159987	0.0007803978587641677	0.0009479883546467773	0.0010237386430943783	0.00295626888172344	0.0021603782311850356	0.0015072350513336327	0.0012251708363357294	0.0
TMEM134	0.0005513667395220238	5.1884135842397925e-05	0.0029963214995341932	0.0	0.0030896874483515874	0.0	0.003355790916671895	0.0	0.002052824402908745	0.004607979716301197	0.0028465508113002884	0.003081764680259977	0.0006312418638854888	0.001479442775857656	0.000570919275379729	0.001991878948189895	0.0012276500431658752	0.0008308498765264041	0.00396062613877006
C11orf24	0.002723060869545722	0.00329679331917653	0.0	0.0012351136566028115	0.0014907083343915148	0.0011191106842867358	0.0016292790196760236	0.0016456153232059277	0.002300052898344818	0.00043327132549598	0.0036831594007816905	0.001293388193619592	0.001242136653930521	0.0019885300618390704	0.004244338171614474	0.0	0.0002998567859834553	9.45037143254661e-05	0.00227116130622244
PAK1	0.0	0.0018631207859676638	0.0038234072034271974	0.0031322728950349188	0.0015271698980070124	0.0026503622508031125	0.0036523267337429466	0.0	0.0	0.0	0.0006993161935746737	4.314724202485782e-05	0.0016678151111583703	0.0015727321791512536	0.0006455293706716011	0.004042670318053528	0.0018067367855201038	0.0025743505510388044	0.0015916108460445517
CLNS1A	0.0012548485169219742	0.003344742281963394	0.0	0.0025352755582753743	0.0016130201116276947	0.0	0.0	0.0018743268618156114	0.003644123142258874	0.0023063150482665533	0.0012133346778080026	0.0036197637119646086	8.699885572417651e-06	0.001449095313817002	0.0028181651724000526	0.00045014546811036427	0.0011149050823526744	0.0009634860828945641	0.004494006373143628
FDXACB1	0.0019377930674372092	0.001818509080621337	0.0014848535126610815	0.0004110870190691759	0.0005509419386442461	0.003502181309842625	0.0	0.00547982979583412	0.0017971616443806845	0.0014152345639427736	0.0	0.0014413395145522622	0.00401884889809027	0.0020294947388309788	0.0014076666378666901	0.0	0.0	0.00176507727223801	0.002861646107601917
TMPRSS5	0.0028132477160882855	0.0	0.002480786918550229	0.0	0.0020893822008739384	0.0	0.004086289118453995	0.0	0.00264931111788433	0.0018839335036299055	0.0012375614414978644	0.0058818817842004115	0.0012908920150892114	0.0002708589790156632	0.0009436439571079491	0.0033553408385504106	0.0013354716719368167	0.0008276501087008503	0.00038031345012826806
FXYD6	0.0	0.001050298755645313	0.003070334456744521	0.0018442800831631554	0.0015267502108479896	0.0	0.0042049462384301925	0.0028994455732488087	0.0013018515103765651	0.00352675440217938	0.0010084218877397593	0.0	0.0	0.003044763688098887	0.002651107681642575	0.0009858461380663037	0.00145247205363805	0.002898234102428007	0.0009259800565847844
TMPRSS13	0.0003244126955038464	0.001134721695387457	0.003792012820581574	0.001512050711896734	0.001655404730761918	0.0019197316125534418	0.002132217170349104	0.004153113006377006	0.0	0.0016158225559226068	0.0003660486553210101	0.0	0.0034353350539314447	0.0015659702738099915	0.0026406683216525506	0.0013272108618529429	0.00024911037235860427	0.003429337016432095	0.0
NLRX1	0.0011690438673344758	0.0036975142804146093	0.0	0.0017059805539473697	0.0006694513621758421	0.0009962163124432864	0.002599008874272814	0.004628498920659755	0.0029929778026485244	0.0012161267429812075	0.0	0.0037322820016255976	0.0003624406960368991	0.00173099478715648	0.0	0.0	0.0	0.0030439654730924502	0.00377208104161415
