	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
DHCR24	0.0024829943835349582	0.0031645222063902147	0.0008374849305765226	0.0	0.0	0.0041083207422344	0.0026410488024182074	0.0009093261419283254	0.0038470790437730136	0.0	0.0028002579499612494	0.00037646598951718177	0.0	0.0011491404881709695	0.003808626037858889	0.0020105591911849926	0.0002085154841385186
TMEM61	0.004007304919217833	0.0019586059191669257	0.00263414311991771	5.0257519581116945e-05	0.000531755416246062	0.0065029370916194675	0.0027028539142184295	0.0	0.001986696526348712	0.0	0.00025364082116049807	0.0011816595303230082	0.0004810991821949477	0.0012616103735707289	0.0010803487241554221	0.0	0.0014989107548933193
PCSK9	0.0	0.0	0.0032655184796890283	0.0014198087912020276	0.003835613287140032	0.001459950533252597	0.0	0.0052784350686576826	0.0	0.0035444491024268585	0.000905469922207486	0.004134007678612534	0.0	0.0007964935367567786	0.002713491501574919	0.0019253347509999756	0.0024130163700917685
DAB1	0.0	0.0022967031697234013	0.003970474477391751	0.0046717815787839095	0.00029162907567247887	0.0019003467821269257	0.000448399669162064	0.004314952399529178	0.0011138476359240028	0.00015853286579285933	0.0	0.0005545476749848129	0.000813193981013605	0.0030027805304965014	0.004588452978239029	0.0	0.0032059532265764183
PTGER3	4.452427355734258e-05	0.0	0.0011198392805977146	0.005839370930954992	0.001895401753502614	0.004471075564686665	0.0	0.0030294104401053963	0.002223467432769467	0.0	0.00152285451447679	0.003174091371824442	0.0013874099515845356	0.0	0.0019168551123547764	0.001106127532912704	0.003358409720731202
NEGR1	0.0	0.0012458585676760796	0.0016084351783600028	0.002335668063407563	0.0005345311322774148	0.0	0.002320478383089553	0.002716511853410622	0.0017405027837096671	0.005093021539262853	0.0	0.004196289577589703	0.004037257799755889	0.0006019077860225202	0.004496648994729026	0.0007477961717670023	0.0009052510426882488
LRRC53	0.0	0.0023128529280979026	0.0026655565438254984	0.003474805811925717	0.0013094244713737111	0.0	0.0013937812409350356	0.004627596603463006	0.0010843528313015983	0.0057635302519291045	0.0017576709436307788	0.00023111443244639874	0.0	0.0002872702221723035	0.004558999107121119	0.0	2.039497448681432e-05
SYDE2	0.00040192178143044565	0.0028233825626462284	0.0	0.0037166579543560715	0.002581677562320538	0.0	0.0	0.0009798938334293743	0.0005680240388353793	0.005021825500503074	0.0015518087085351607	0.0025054699878640607	0.006170870639933145	0.00239728986872226	0.0009353262046909816	0.0012268462226777005	0.0
C1orf52	0.0006273855371644615	0.0010044373467263917	0.0021253581908387605	0.0025745593188188746	0.0007359951052456564	0.0009402305993254002	0.0	0.004102270071907171	0.001697646839085209	0.0030007765238811864	0.002144245510936353	0.0009831285555990798	0.0029431224211217484	0.0012311363800091076	0.0029061056804447	0.001938101748707306	0.0029325366829658743
DIPK1A	0.0	0.0003044060038021749	0.0	0.0022847150704930342	0.0	0.005719673322095771	0.0	0.0031016439426917695	0.004543482110046293	0.000597184366984527	0.0010196093704586528	0.001986666272360153	0.0008657116046051573	0.0040512076774219235	0.001487424332576795	0.0037143140558938362	0.004753388188900827
FNBP1L	0.0	0.00044297736882733163	0.001698426402238904	0.004640690832628582	0.0009606064059226922	0.001673674782799561	0.0	0.008572990043729481	0.002026975907780922	0.0012388025591183402	0.0005002257608228884	0.0019993474714407366	0.0010046336118058428	0.0	0.0037473234541844725	0.0008888894443127228	0.002186777899207488
SLC25A24	0.0012555836984045642	0.0006515597608228904	0.0033513386110262905	0.00035393186948813734	0.0006536923791369589	0.0008872697211383731	0.0015687263925243831	0.0032396604312584475	0.001353668017785242	0.00339415506362095	0.0004080507905040816	0.004480179452916356	0.0020852660673984797	0.0011452941696802532	0.0046509485972764265	0.001228755668496125	0.00022606541264633468
STRIP1	0.003440236783123627	0.0	0.0032427961512486417	0.00022362685099821863	0.003363649955296246	0.003526476735130068	0.0032560733327021366	0.0	0.0019714618622745143	0.0	0.00095390220710273	0.0013391395797506013	0.0	0.00437676928285644	0.0	0.0	0.0026252165142761864
CAPZA1	0.002040925685164387	0.0	0.0006585307898956079	0.0	0.0029041687545177434	0.0	0.011514022674157263	0.0	0.0	0.0031804615717590987	0.0	0.002358861389286299	0.0	0.0023869464154623096	0.0	0.0017888861485421351	0.005018433049001111
LRIG2	0.00033321302003003217	0.0009562849413095058	0.0013635481287938424	0.0	0.0014130947792863574	0.0019003262271221012	0.0020175740238429062	0.003293410680434703	0.0029071515738133416	0.003405818162593503	0.001994190821808061	0.0013823706022040388	0.006265605078454181	0.0029420891569531442	0.0	0.0	0.001395178401668879
OLFML3	0.00127491445701873	0.0010800055368915536	0.002975961206673353	0.005253820582523892	6.601766203590726e-05	0.0035156802379443337	0.0	0.002470870836102724	0.0007874935247843903	0.001121106784510959	0.0	0.00038944641927025566	0.002230866366846541	0.0005047657781859354	0.0038003345839788863	0.00102995191212589	0.0034137477530527885
TRIM33	0.0036366651912328987	0.0015051579753721839	0.0	0.0	0.000754022122890583	0.0	0.001874631180893323	0.0011904981414116375	0.0014658024400030624	0.0014131019836074211	0.002455824226633043	0.001767760568011661	0.0	0.000434494249167653	0.00741254051181544	0.006271719664412908	0.002557740300613871
RNF115	0.002151530464819341	0.004941398959036654	0.0	0.0002763379101290106	0.0032480496366134276	0.0	0.0010543485458518699	0.0	0.0012607919951568727	0.0006136986396760875	0.007952169085014877	0.0018765268275333488	0.0	0.002021363365727556	0.0	0.002086129167210251	0.0014722159175287464
CHD1L	0.00032199409050800493	0.0011483149788438065	0.002457240033578734	0.000628284505152171	0.0051060563506997204	0.0009170672511499376	0.0016129591728030023	4.8248849957578226e-05	0.0015024420062941368	0.001099136631594222	0.0040780570501031425	0.0030703240455806145	0.0026469481372272488	0.0	0.0015318897722031528	0.00191549227734321	0.002821911591163474
CIART	0.0017411730704601754	0.004160751898817381	0.0011129518882192796	0.0	0.0021739433695645237	0.0	0.008863189487200378	0.0010940606178035902	0.0	0.0011255643123588097	0.0024152846740744982	0.0	0.0	0.0012400369303032976	0.0	0.0025930766090451127	0.0030094625771162104
GOLPH3L	0.0	0.0005109362956789858	0.0018611288508979709	0.006351593627813446	0.000702168895307382	0.0	0.001461172112377724	0.0012292933111480893	0.0036453407104433885	0.005873236695397976	0.00012893407935919257	0.0	0.0029426543864409754	0.0	0.0041480498178384775	0.0007460859659928292	0.00235034803910583
RFX5	0.0	0.0014566080948523945	0.0013044416360061986	0.0018576729763435562	0.0	0.0005656080545020405	0.0	0.006729836117738381	0.0	0.0027839860097033284	0.0028388661472016448	0.003913554650135997	0.0010523154056677616	0.0002400971518168484	0.003945366298071731	0.0029228483714095832	0.005569608483044022
OAZ3	8.789528471293506e-05	0.0	0.003480713459955465	0.0034231288774643855	0.0009021312990611719	0.0	0.00388868900076755	0.007314558194616738	0.0009021928136576855	0.002196683247111496	0.002002627015963213	0.0008002160546089092	0.0017229594368009789	0.0013932470097419516	0.0	0.0006718326397774352	0.0010145487182911938
LMNA	0.0	0.002688207439474102	0.00037840103035383836	0.00237462479159217	0.0021505804824059984	0.0	0.0012688154083890658	0.006184504546593198	0.0	0.0029683105356228374	0.0	0.0034143562172476417	0.002232743001331106	0.0008019136193403397	0.004368692552967505	0.0032623721493882916	0.0
NES	0.0003558975989102524	0.0	0.0014589254462627234	3.106227100475934e-05	0.0025890733927381748	0.004188808248254062	0.004600063353431866	0.005389299850871837	0.0	0.00030713392460563914	0.002578374332669876	0.0043252829235659275	0.0012821403943003233	0.0	0.0011367804060487352	0.001325606877603716	0.0006496417139726431
TMCO1	0.002847585299484761	0.0	0.0005179633341623896	0.0008330950769071977	0.0027197540145584777	0.0024746822287960253	0.0034401970872301266	0.0	0.004455222862116795	0.0	0.0027647639122911063	0.0	0.0	0.004720336434751698	0.0010385893954550113	0.0003972968092508663	0.0042133331973273755
RCSD1	0.0021181192969725805	0.004291934391233388	0.0002839019710434863	0.0009323834909492262	0.0054595913627329155	0.00030264923078460437	0.0	0.0	0.0	0.00035775697809633047	0.006770977160951412	0.0013911855107601695	0.0	0.002675568005284165	0.0	0.0017134662534702067	0.0025424092820104825
SCYL3	0.0	0.003109675205967569	0.0017615869140499955	0.004505379624857248	0.0004367473799771331	0.0011899599171794422	0.0015903106404333933	0.0064143364053654	0.002989416123028806	0.0	0.0	0.0	0.0009571266336273125	2.2569293715113493e-05	0.0046313497819654775	0.0009823168039014044	0.002463017181376268
ANGPTL1	0.0018267977246232425	0.0	0.0039991109413368055	0.002469344243315845	0.0	0.002392513437169418	0.0006762252925364193	0.002069217272312761	0.0033209397348587266	0.0016004655859283552	0.0	0.0004827859814122516	0.005016649982957585	0.001753019120625594	0.0	0.003356444751206975	0.001299030763341212
PTGS2	0.002102848065444951	0.0060412138062789925	0.0002942660023950262	0.0	0.0036578840614239394	0.0003276893620836797	0.002436350813092812	0.0	0.0013743768736756937	0.0033752616559697113	0.0025458136051987415	0.0018107896449505514	0.0005335055771223756	0.0	0.002770957328671097	0.0	0.0
KDM5B	0.0	0.002007815139483643	0.003835311622610938	0.0030754092596479874	0.005483880518424939	0.0	0.0012617346392461192	0.0030800941134089457	0.0011228658378629871	0.005429571059271739	0.00041582929097826616	0.0	0.0	0.0011971986232807953	0.0003323128001199227	0.0009056213295166492	0.0
MRPL55	0.0018960777489993113	0.0	0.000654762602439364	0.0	0.0	0.0032296730713031636	0.000544271306809665	0.0	0.004240080975268273	0.0027203013122830922	0.0049069578628223596	0.0013269800651537625	0.0	0.0034986818615247964	0.004376351854340383	0.003168759234592623	0.0026390887702576237
KCNK1	0.0001509112347907918	0.002920843919265233	0.0047456067620996805	0.006279526078129209	0.00010822003676140198	0.0	0.0004683316647114146	0.0017782949867602212	0.0	0.0006307299120378497	0.0	0.0	0.00387242647562372	0.0018268568525086797	0.0003211343101365197	0.0026692296105714163	0.006007416175939928
WDR64	0.0	0.0001974418069108227	0.002884643671026781	0.0040760205055925345	0.002049117598058426	0.0	0.0034800698418694705	0.004872960775363364	0.0	0.005780449947366984	0.002757944551399573	0.0011350653403014322	0.0	0.0007594742858155769	0.0004285238765834212	0.0003798807214477516	0.001147023850196877
SNTG2	0.002129418982107825	0.0005188155762027141	0.004810190627169666	0.0017627138935850221	0.0014422121441684719	0.0030053779842226713	0.000756406221722759	0.0017638711833504114	0.0017267841721521442	0.0014007606521271388	0.0	0.0035836127514014436	0.0	0.004833064897174204	0.0	0.0	0.0005795129101289193
