	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14
EPHB1	0.010173535325319616	0.0	0.0	0.0	0.0	0.0021678596814873586	0.0009797345095092372	0.003124904256775341	0.0015018436192859163	0.0020423581821940517	0.013646963721786391	0.0066636365510548395	0.006716695839441952	0.0
SLC33A1	0.0	0.007755200578717792	0.0	0.0037682399980197632	0.011750899126068208	0.003405381480089282	0.0	0.0	0.012430312747353822	0.006628864400069041	0.0	0.002203878035654581	0.0	0.00026185770558176234
B3GALNT1	0.006148339357384647	0.0	0.007751094917535419	0.00453667870002419	0.002872925491646035	0.0011261776501196327	0.0	0.012673770840343414	0.0	0.0018131791500943237	0.0	0.005069499828965436	0.0	0.0025966802650272715
SLITRK3	0.0008349034050568612	0.005227654832943367	0.0	0.0075536470494929776	0.0	0.0	0.006019367582505571	0.0033743043528095223	0.005208824103221171	0.004263376052840051	0.0	0.0	0.011821681133536644	0.009467050219201674
PLD1	0.001952828637097103	0.002713054980874921	0.006312811538598407	0.0	0.009661360855152864	0.0015241015625450005	0.0005973340793622864	9.957929685456631e-06	0.0	0.016110833312565027	0.006186185993531492	0.0	0.0	0.004827117572236138
KNG1	0.0	4.5643820523909156e-05	0.00037727526595066546	0.0044637469611817715	0.0009339112475497155	0.0	0.0005948087513954776	0.016418495927973665	0.008508972587264643	0.0014365743974414237	0.0	0.01007286883553474	0.011481304154130801	0.0036457941400389344
EIF4A2	0.009233418023013952	0.0	0.003207333110385065	0.0	0.002058657648220251	0.008865008107359535	0.004485795740612231	0.0	0.0013329106416243768	0.006578858309511931	0.0	0.0024166388751207662	0.005291573178803509	0.0
SPON2	0.006564318753482933	0.0	0.011694822894202605	0.0	0.0011484194752703326	0.013290606600371156	0.0019584199041573114	0.0	0.0006455821331047266	0.0	0.0	0.0	0.002930360211408153	0.005585622826172518
MSX1	0.0	0.009493238166409157	0.0	0.00277032640146317	0.0	0.00568163607470219	0.0073653620235077395	0.006759899276608385	0.0038217823832721737	0.0018045724048874382	0.0	0.005446703125940389	0.005910278803296139	0.0019223912568223959
WFS1	0.0	0.005998100998013516	0.0	0.009504222076267587	0.0	0.0	0.00643493661255276	0.0008232791010618444	0.006815468311953956	0.003614180291629315	0.006458805427604076	0.0019135306107275502	0.0010920296033764382	0.010170517743818514
