	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14
NBPF11	0.009338392408531071	0.0	0.0009309974769666494	0.0019728832256680844	0.0	0.0014167552343773548	0.004582141248586662	0.0004036297729458932	0.0034940239219278715	0.00675154088386215	0.0007060181440179019	0.008465140756994404	0.007606353392124336	0.0
CIART	0.006378896475290458	0.0024895773230449274	0.009441309020793267	0.0028514862290889434	0.0	0.0	0.0	0.0011337818921662273	0.005550591759962636	0.0046913341385216	0.009657454517267464	0.0	0.0	0.0039230935460380645
PI4KB	0.010681963225805897	0.0	0.0002597955813486484	0.0	0.0032863714927990786	0.003364873781526143	0.010198481677356819	0.0	0.0024891321941517834	0.0012725335225493956	0.0018553190615789993	0.0	0.002508473541929902	0.008633023242245642
TDRD10	0.0032061429632218677	0.0027522275563466136	0.0017013820108353838	0.010845167218770138	0.006733526825223545	0.0	0.009788496115260328	0.0	0.0	0.0	0.0026643471286939215	0.004251951499550871	0.003362900959951269	0.0028466702033921685
ZBTB7B	0.0	0.0092234043452504	0.0	0.004692100060601689	0.0064821670369865315	0.006359650820354249	0.005337781739444009	0.006526047356044109	0.007138278630384034	0.0006480918222109847	0.0	0.0	0.0003438240470548564	0.0015171444495753867
IQGAP3	0.006947805109589478	0.0065343453063732146	0.0012388021373812043	0.0	0.0	0.0007229018310739903	0.0	0.002182274567500442	0.008749848215756742	0.0003355559920876264	0.01400085223024857	0.0	0.004415260194332561	0.0
TMCO1	0.004243852260542048	0.0004155410361824525	0.0036258975570348725	0.004176810149708635	0.003533021476553021	0.0004330771375484789	0.005077244985375583	0.0	0.0	0.004915511765290792	0.006715514164542121	0.011622284203169962	0.0015020547046204029	0.0026362986973148365
PTGS2	0.0075028801444231435	0.002208013272982869	0.0018837772980813028	0.007633990782677401	0.0	0.005822804333116146	0.0	0.0019326703220260459	0.007856791429224203	0.0033081996744638103	0.0037977031395489864	0.0019748409586635065	0.0	0.0
UCHL5	0.0	0.007109554640536325	0.00524818313633312	0.0	0.004227071785311626	0.0033815086520598047	0.0	0.004563718113338613	0.0014169961267173805	0.0	0.00706309503880535	0.002888029712123801	0.014037535943576322	0.0017978910789278484
CFH	0.0008633867498982123	0.0036401079307470433	0.0031189842355770405	0.0012464683338997316	0.0	0.010477099873138059	0.0	0.009786066088534742	0.0021730331466336024	0.008029216492763868	0.00039119393949732013	0.009788244540682127	0.0006771593031610847	0.0
KDM5B	0.0	0.008377147154323073	0.007329374053137021	0.0024185227188563032	0.004121949214240491	0.0008254189101122816	0.0020597552265581662	0.005393863281560431	0.0038792845067331817	0.0	0.0023321899829163396	0.0	0.00823447467292619	0.005391691637529704
NUCKS1	0.0010353801222664626	0.003731934979767493	0.005627664843317601	0.0	0.007199651102544228	0.0	0.010341233465302933	0.0009688707568214758	0.0	0.007972994988513749	0.006197006999968295	0.0	0.0	0.009117888905129445
TRAF5	0.005772130195889691	0.0	0.004734624189573773	0.0019156964804834017	0.00042314699715351493	0.0013050847131753263	0.0	0.0	0.008646066714040047	0.004469729814937191	0.00685204006271506	0.009775140087724439	0.002720430016224806	0.0015670505762332514
SLC30A10	0.0025708034883488353	0.006387533103439455	0.002187988107044572	0.0056994186040204824	0.0	0.0022470900790271765	0.0	0.006147057822679056	0.006282563414330687	0.004067844223514341	0.007048058594201302	0.0	0.003744470914461561	0.0013694558488427197
