	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46
PTS	0.010302752470874851	0.0	0.006044687919087577	0.0	0.0	0.0	0.004375448353023009	0.009105641547513605	0.0	0.0	0.0028236612619571854	0.0	0.0	0.0	0.0	0.005009054244577805	0.0	0.0007566806781447108	0.0	0.0	0.008343630239499163	0.0	0.0	0.004022348264186652	0.0	0.0005223617196424553	0.0015624234985267718	0.0	0.0	0.0	0.004248967744002818	0.0015236965560382206	0.009298096493429341	0.0	0.005402336033670198	0.0	0.0033940463342967413	0.0027385957062638355	0.0	0.0	0.0	0.00034755322461364074	0.0	0.0	0.00027826718931798377	0.0
UBE4A	0.0	0.002608723724019004	0.0	0.00024956377413096225	0.0008341212344702472	0.0	0.0	0.002176120599780312	0.0	0.0	0.0	0.005174946273170314	0.0	0.0	0.0	0.011386965083930186	0.0	0.0	0.0026989570150860146	0.0024032827967909636	0.004967593216370873	0.0	0.0	0.002373170160702109	0.0	0.0	0.0	0.006124749424237184	0.0	0.0	0.0	0.0024621597882886256	0.00028065459700826544	0.0	0.004338511337880678	0.0	0.0028406480575012775	0.008933256850407712	0.0039785093520447465	0.0	0.0003790237506094346	0.014131898069948585	0.0	0.004077617158366171	0.0	0.0
ARHGEF12	0.0	0.0	0.0	0.0	0.0	0.0035033345059334612	0.008076828837343768	0.0	0.0	0.0	0.007236023544973057	0.0	0.0	0.0003774314991881916	0.0	0.0006338800266653553	0.0	0.0	0.009219885405503789	0.0	0.0	0.011340960551940822	0.0	0.0	0.0	0.0	0.0	0.0121949782102912	0.0	0.0	0.0	0.0033825912313667533	0.0	0.0	0.0	0.0034688402224760423	0.009498447181561358	0.0043418955433388185	0.0	0.0009112026882008388	0.0	0.0	0.006273360010943564	0.0	0.0	0.0012336402096568468
ROBO3	0.0	0.0	0.0	0.0	0.0	0.0	0.00405907229887204	0.0011962102906603513	0.011045308984035437	0.0	0.0	0.0	0.0010449930533619671	0.0	0.004911563832726132	0.005210328031567059	0.008932529913219684	0.0	0.005488262593687398	0.005668316836577175	0.0	0.002495126651588801	0.0	0.0	0.0	0.0	0.008892560641147549	0.0014464825204988443	0.0	0.0	0.0	0.0	0.0	0.0030736764712097596	0.0	0.003196660077209728	0.006745699055149224	0.0002258978534543249	0.0	0.0	0.0	0.0	0.0008817388424622922	0.0	0.0	0.006393621748110637
PUS3	0.0	0.0	0.002154909763075376	0.0	0.0035351459803531883	0.0	0.0	0.0028619664669095805	0.00440688497077387	0.0	8.553539600452104e-06	0.0059540692264248565	0.0	0.0	0.0	0.004958100398214561	0.0	0.0	0.0026703513828281677	0.002305769319708217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008536292004677619	0.005375709393326487	0.0	0.0	0.0	0.004727577484712652	0.016968400315892567	0.0	0.0016394675532837358	0.002172568334706808	0.00632936166842667	0.0	0.0	0.0	0.003041204442238196	0.004239553514388376	0.0	0.0	0.0
ARHGAP32	0.0	0.0	0.0017781142462520477	0.0	0.0	0.0	0.0011663109136714536	0.01524686383488024	0.0	0.0	0.0	0.0025415237173883093	0.0015703266299254657	0.0	8.030010535810724e-05	0.007829387284029155	0.0038311485626001235	0.0	0.00441044871351259	0.00405037576076885	0.0013763961901833107	0.0011468156266901917	0.0026021030059267818	0.0022578028563592016	0.0	0.0	0.0012113239775916665	0.001369483163977372	0.0	0.0009072886464310728	0.0	0.0002658430389434586	0.0	0.0060309520162893536	0.0017488320245751922	0.002092613323913657	0.0026268615207346102	0.0	0.0	0.0	0.0029551224305248767	0.001618342221125321	0.0015679000782556941	0.0027486170769802937	0.0	0.005759927317182691
ST14	0.0	0.0041392390656068935	0.0	0.002617678922019498	0.0	0.0006029654451253163	0.0	0.0	0.0	0.0	0.0	0.004273425175255527	0.001140753683537095	0.003344978567677488	0.0	0.0011203792842668743	0.0	0.003414155646945609	1.2822498522155973e-05	0.0	0.007693051158125181	0.0022394559999470267	0.011969109425523976	0.006570490124147852	0.0	0.0	0.0	0.0	0.002403066534101839	0.006413764727099505	0.002967766236972189	0.0	0.0010090297144738874	0.0	0.0009497088990328071	0.0	0.0	0.013436363292050512	0.0	0.00042643283197391784	0.0	0.0	0.004312388600581623	0.0	0.0	0.0
SNX19	0.00582673551449203	0.0	0.0003080217359966384	0.006319025752360594	0.0	0.00043626552127918564	0.0	0.0121910719910525	0.0	0.0	0.0077154007706979	0.0	0.0	0.0	0.0	0.0	0.0	0.007319685772855713	0.0	0.0	0.0	0.0	0.0	0.002241181054493698	0.0050928813124333176	0.0010511496688529944	0.0	0.0	0.0	0.0	0.0009479374257778166	0.0042641181198786295	0.0	0.007531231940903364	0.0	0.0	0.0008669114336416124	0.0	0.0	0.0	0.0	0.0006757441797732316	0.004069117096867746	0.0	0.011759191866637318	0.0023332438093209887
NINJ2	0.006103560784460021	0.0	0.0	0.0	0.0	0.00360537358332486	0.005647008853703899	0.0009589282741618947	0.0	0.0	0.000949553192073839	0.0025768218054322122	0.0023316189075049437	0.003736364285154752	0.0	0.0	0.007012889643334787	0.005201166388399942	0.0	0.0	0.0	4.949295057106979e-05	0.0017407751919644614	0.0038501155622306846	0.0	0.010570598110381881	0.0	0.002206050027225559	0.0070533364136651875	0.004143962133729539	0.0	0.00023435198576792548	0.0	0.0	0.0	0.0	0.0	0.002765808672175468	0.0	0.0	0.0	7.631219971515617e-06	0.0027281129136548714	0.0	0.0	0.006899920552253594
CCND2	0.0	0.0	0.0007591270420505408	0.0	0.0038313795295680463	0.0041535742669990185	0.0	0.0	0.005277629022535743	0.0	0.0	0.0	0.0	0.0	0.012668424786991615	0.0009783350965622563	0.0	0.0	0.0	0.0	0.0	0.0006319286877275623	0.0	0.0	0.0039576432839446805	0.0012257907682268292	0.0	0.0062052991415917315	0.0	0.002010859609153389	0.0	0.002565518971095697	0.0	0.010318990319035598	0.004134844174370601	0.0	0.0	0.0	0.0010276541513995628	0.012527669661706278	0.001537910271449566	0.0	0.0	0.005556369182128826	0.0	0.002195151361625747
