	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13
20380417	0.0	0.0	0.0	0.011212600868850526	0.0	0.05123626845156989	0.0014476018231564987	0.0	0.0	0.0	0.0	0.0	0.0
20390027	0.0	0.06448975649145719	0.03941341403934497	0.0	0.0	0.013925906654021578	0.0	0.0	0.0	0.0	0.012317557412696236	0.0	0.0
20447343	0.0	0.030215262294330907	0.03993916805267931	0.0	0.0029658345734360357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20453625	0.0	0.031835815095577126	0.04930119317470147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021810961693214354	0.0	0.0
20500815	0.0	0.0	0.0	0.0	0.0	0.0	0.11001036669640041	0.0	0.0	0.0	0.0	0.0	0.0
20501668	0.0	0.0	0.0	0.05852768826302027	0.0	0.0	0.008863211919103877	0.0	0.0	0.0	0.0	0.0	0.0
20532115	0.029952177243227816	0.0	0.0	0.04008473470408931	0.0	0.0	0.0	0.0	0.07689343691002158	0.0	0.0	0.0	0.0
20559562	0.008645598901806809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1363842633538526	0.0	0.0	0.0	0.0
20561642	0.0	0.02498848624910577	0.014751591851992407	0.0	0.0	0.026358622251023967	0.0	0.0	0.0	0.0	0.02587898042264739	0.0	0.0
20594407	0.029579729075201257	0.0	0.0	0.016516501188618842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20630946	0.0	0.01664536858405753	0.0	0.0	0.0	0.0	0.0	0.011648749717588402	0.0	0.0	0.05606754355094856	0.0	0.0
20674902	0.0020346831878387713	0.0	0.0	0.0	0.00539810557344662	0.0	0.0	0.0	0.0	0.0	0.02807648082693101	0.0	0.0
20706215	0.0	0.0	0.043045932454551586	0.0	0.0	0.0	0.0229964376127222	0.0	0.0	0.005689348950865151	0.0	0.029855004235691013	0.0
20819999	0.0	0.04922550266867693	0.046423604893039726	0.0	0.0	0.011103462537000166	0.0	0.0	0.0	0.0	0.020209941523663982	0.0	0.0
20865035	0.004803567118818097	0.0	0.0	0.0017026602518792821	0.0	0.0	0.0	0.09664240168531335	0.0	0.0	0.0	0.0	0.0
20892128	0.0	0.0014677381406014457	0.0	0.0	0.0	0.0	0.01900671159264979	0.0	0.0	0.0	0.0	0.0	0.0
20898476	0.0	0.021837424353224458	0.0	0.0	0.048931505779346254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20906079	0.02190961126696091	0.0	0.008107592585628631	0.0	0.0	0.0	0.0006129794931665305	0.0	0.0	0.0	0.0	0.0	0.0
20911508	0.0	0.024063599538136048	0.039924595151579784	0.0	0.017729544975894594	0.02354828973271206	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20914669	0.04625334784912249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03250313212813087	0.0	0.0
20920239	0.0	0.0	0.0	0.0	0.008672612259266724	0.0	0.0	0.0	0.0	0.0	0.01295636028529976	0.0	0.03911501156423141
20922259	0.0	0.0013923189555958178	0.003596593439040925	0.0	0.009233277450908808	0.023268092785375703	0.0	0.0	0.0	0.0	0.006792859261562392	0.0	0.0
20925996	0.0	0.052181878074196726	0.017146279506054928	0.0	0.020176651786466333	0.001903906517571104	0.0	0.0	0.0	0.0	0.023772680050054132	0.0	0.0
20933324	0.0	0.0013898249220710918	0.009765716377032194	0.0	0.016331572797887512	0.026900615655767856	0.0	0.0	0.0	0.0	0.020982529627335017	0.0	0.0
20946545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1515046093078253	0.0	0.0	0.11955881399997029
