	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49
EXTL1	0.0	0.00046570339057413156	0.0005604428480734693	0.0033286571954453223	0.0	0.0	0.0	0.002386275774549158	0.0	0.0	0.0	0.0011732997397549477	0.0017968553774595202	0.003425131365426721	0.0	0.0	0.0019491818762356712	0.0	0.0	0.0	0.0	0.0	0.0	0.0005738610096858405	0.0	0.0	0.0024853432744236974	0.0	0.0013709005728171097	0.0	0.002693189477849498	0.0	0.0	0.0	0.0	0.0022533011371529384	0.0	0.00035777189229001027	0.0	0.0001780950608851389	0.0	0.004662835734666321	0.006418299479723625	0.0009773257194977901	0.0	0.0005642868283302206	0.0	0.0	0.0
SLC30A2	0.0	0.0	0.0	0.0016580751389230143	0.0013732521933921356	0.0	0.0	0.002567651681004152	0.0	0.0010664602069525768	0.0032860257840045476	0.0	0.0	0.0	0.001163685861489666	0.0045295727457795336	0.0	0.0	0.0	0.00023757080850459229	0.0	0.0	0.0	0.0	0.0	0.0041134100131648135	0.0028378068636405987	0.0	0.0	0.0	0.00016410986807298883	0.0011902358008239564	0.0	0.0	0.0	0.0	0.0	0.0008318581975306123	0.0	0.0006042723199504602	0.0	0.005683575515255738	0.0	0.0005001218590441873	0.003246183146382408	0.0	0.002705559979467604	0.0	0.00025414104346260276
FAM110D	0.0	0.0005035009227010438	0.0	0.0005102353301287009	0.0007272572016596073	0.00045744344587766945	0.0019613357625270084	0.0	0.0	0.0	0.00025556893378357175	0.0014000923278147872	0.002473758437558878	0.0	0.0	0.0	0.0	0.0	0.0	0.004167446841379885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026191956123529777	0.0	0.0	0.0033671561420525	0.0	0.0	0.0031806087159488507	0.0019363053502336944	0.0	0.0	0.004260992658064325	0.0	0.0	0.003160795550540309	0.0010054087141952335	0.005212491435263232	0.0	0.0	0.0007785399187997434	0.0	0.0003633472161061786	0.0
CEP85	0.0014319707634058941	0.0011190699296622201	0.0	0.0	0.0005820246016580992	0.0	0.0	0.0	3.628512637664555e-05	0.00028664045856407273	0.0	0.0	0.005592237865579742	0.0	0.004096765293713499	0.0023363329118487593	0.0022346770903134594	0.0001883789952130497	0.0014878105513637886	7.393619321892441e-05	0.0	0.0	0.002654411868163676	0.001231436865696164	0.002205213094348567	0.0	0.0	0.0014288662826566446	0.0	0.0	0.0	0.0	0.0037789673492550006	0.0	0.0	0.0	0.0006182989582971557	0.0	0.0	0.0018624762301528458	0.0003288766690519741	0.0	0.0008264229948127326	0.0004971170595523454	0.0	0.0	0.001987801285098031	0.0	0.0
SRSF4	0.0	0.0	5.695437699485784e-05	0.0	0.0	0.0024637936876477713	0.0005810078099931205	0.0008180599642488391	0.004263599075729023	0.0	0.002297209290269001	0.0	0.0	0.0017377573261665865	0.0	0.0	0.0	0.0	0.0015066633003155598	0.0	0.004705198777174906	0.001010443561479672	0.00014455877924375517	0.0039235684676123634	0.0	0.00013016233588871904	0.00228665388769904	0.0003395543204177315	2.7723648489285094e-05	0.0	0.0006997499185178653	0.00023561626975225107	0.0	0.0011480516165855554	0.0003932979205585022	0.0	0.002296023370646682	0.00013159788648129552	0.0	0.0008293905452658989	0.000771143182924955	0.0	0.0007359079296027572	0.001549747189482755	0.0017114047571061817	0.0	0.0	0.0	0.00016595070860795443
MATN1	0.0	0.00044255090680804326	0.0	0.0010697322297666294	0.00022178018331019085	0.00011034428084040044	0.0	0.003983563140429143	0.0	0.004362798671305969	0.0013833421076077377	0.00047287169604107784	0.00010240658936695087	0.0	0.0	0.0	0.0011503224104912658	0.0	0.0	0.001026350818842432	0.0	0.0	0.0015963099588138117	0.0	0.0	0.00031085282145560246	0.0038732288452803655	0.0	0.0	0.0008720221265546512	0.00043000447959571264	0.0036781750628122247	0.0	0.0	0.002234858851578939	0.0	6.229887658954637e-05	0.0012738389702904903	0.0	0.0003014461875550475	0.0	0.0011689516690184228	8.400360111316391e-05	0.005513069477851922	0.0	0.0	9.82117366347046e-06	0.001558029259842956	0.0
TINAGL1	0.0	0.0	0.0010137981209984341	0.00035891945666110994	0.0005627380514923585	0.0	0.0	0.0032175504971336862	0.0	0.0	0.0	0.0002789033151102294	0.002358491682122497	0.001037838461998994	0.0	0.0	0.0	0.003625590298382523	0.0	0.0	0.0005498082803714027	0.0	0.0023831104613923535	0.0	0.0	0.0	0.004699835135744029	0.0	0.0015554494374551194	0.0012439702328145901	0.0	0.0	0.0	0.0025557923176707693	0.0	0.0015087416016245723	0.0	0.0	0.0	0.0	0.0010435791365367003	0.005925979559935765	0.0017288285522664205	0.00043670975524828673	0.0	0.0015891277599529529	0.0	0.0	0.0
COL16A1	0.0006774092837642542	0.00215558787064319	0.0	0.0009717436480572608	0.0	0.0005330184388706017	0.0010521569171239007	0.0	0.0	0.00011020732118376204	0.0033678256017517956	0.000375434666327026	0.0	0.0	0.0011842720534967618	0.00040187232161540494	0.0021730034473283104	0.0	0.0	0.003682020666793896	0.0	0.0	0.0	0.003444615985992428	0.0022022263401284114	0.0	0.0	0.0009684566492308759	0.0023639463198952392	0.0	0.0014906418220398576	0.004033084040419017	0.0	0.0	0.0014117468860957761	0.0	0.0	0.001345672257602571	0.0005084713284379485	0.0	0.0	0.0	0.0	0.0	0.0013712039389564958	0.0	0.00010564105696302235	0.0013186318798329207	0.0
HDAC1	0.00021751693873157434	0.0005591204448556831	0.0003233762867756868	0.0	0.0	0.001354976484884096	0.005269498679699142	0.0	4.270523843215019e-06	0.0	0.0	0.0	0.0	0.00109662082211392	0.0007169978414851947	0.003065083901312806	0.0	0.0	0.006154538109544983	0.0	0.0016083569942891907	0.0	0.0	0.00037509347507048215	9.974243171625517e-05	0.0	0.0	0.0018145520289410133	0.0022706646274669074	0.0	0.0013179980136261915	0.0018130360304660681	0.0014486707848056632	0.0012258476299103138	0.0	0.0008858081450609568	0.0009751904642068373	0.0	0.001541176253498557	0.0010368116926395704	0.0	0.002281977673618817	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNF19B	0.0	0.0	0.0	0.0016528795885841566	0.0	0.0021593590564873305	0.003038308345441995	0.0	0.0	0.0	0.0	0.0	0.0004929922953398387	0.0	0.0002989215500005326	0.00346985705148688	0.001877201671595528	0.0	0.0	0.0	0.0	0.0026933180021566716	0.00486053624961907	0.0	0.0020969894061254254	0.0	0.0006113943543151393	0.00010135469255912872	0.0019569157093706512	0.00018479840707576593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022272063641818234	0.0032593800061463006	0.0	0.0002951392517065508	0.0	0.0	0.0009444637951971692	0.0027980570053126475	0.0007697007897902448	9.298248583535239e-05	0.0018327141960545628
CSMD2	0.0023385692438190006	0.0021443868449597275	0.0	0.0	0.0010299818040032862	0.0	0.00039321232022337423	0.0	0.0	0.0	0.0009968985004039097	0.0	0.0	0.0027334668186880834	0.0	0.0	0.00021724717813570904	0.004898652452936081	0.0	0.0	0.002381784608331799	0.0011525114144155704	0.0	0.002548942676964859	0.0018876528455892903	0.0	0.0019267660498167819	0.0	0.0	0.0	0.003485648153820846	0.0	0.0027140831210364035	0.0	0.0014955525922100634	0.0009856349499259354	0.0	0.0	0.0002704818953054623	0.0	0.0	0.0	0.0	0.0016840602702276992	0.0	0.0006236359468331508	0.0	0.0	0.0009862859645211675
ZMYM1	0.0	0.0	0.0	0.0005805181863712988	0.0	0.0044767309956712876	0.0013482005183511811	0.0	0.0	0.0	0.0029044138461228313	0.0	0.0019410575312923803	0.0017520398364495062	0.0014957479524911365	0.0010833554350909115	0.0	0.0	0.0045304024920579476	0.0008668328022427838	0.0002771515154516542	0.0006337216809358872	0.0	0.0	0.0	0.0	0.0	0.0017023445466339822	0.00046135512091030503	0.0	0.0	0.0	0.0	0.0012152651289801023	0.0	0.0023919606921413063	0.0003323917378180469	0.0014341908716040005	0.0	0.0015940898520192012	0.0022566144018622883	0.0	0.0	0.0	0.0	0.0	0.004267439316671813	0.0	0.0
NCDN	0.0	0.0	0.0052175121764643645	0.0	0.002264107965691187	0.00033728302078743266	0.0	0.0	0.0	0.0031518001587821556	0.0	0.0	0.0024691497902307544	0.0022818570832330966	0.0	0.002029183238687904	0.0	0.0	0.0	0.0013264002311120864	0.0	0.0	0.0	0.0	0.0	0.0	0.0006535305786723465	0.0009334123821855504	0.0	0.0028881690651788227	0.001302170602305265	0.0	0.0	0.004812684163437656	0.0	0.0	0.0	0.001564502863460281	0.0	0.0	0.0	0.0010415823849279666	0.0	0.0002219431704017347	0.0	0.00154614856830193	0.0	0.0015751344190879867	0.001979955505107819
