	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
HP1BP3	0.0	0.001398242457668767	0.0	0.0	0.0011769086303292774	0.0	5.857016787346408e-05	0.0005173852414535149	0.0	0.003304512502959222	0.001220145800824234	0.0	0.0012844183423302868	0.0005728651548013347	0.0008546960033940056	0.0	0.0014408438726309291	0.0008498223234470663	0.0	0.0	2.4587060881871037e-05	0.0018826563211902844	0.0023232118289937343	0.0	0.002057367456478057	0.0010747978772482553	0.0012011216429311038	0.00020900704139881074	0.0018677279829118448	0.0011410157423305245	0.0007571186125419113
C1QA	0.0	0.0003155824164162994	0.0033920767167632555	0.00021010899534294178	0.00020630878908526267	0.0009206835930991577	0.0014286894278046007	0.002113516841399622	0.0	3.744535237063401e-05	0.001287975308657124	0.00040910960140458363	0.0	0.00199285388362433	0.00039676683337473305	0.000879343550822744	0.0	6.740324370463599e-05	0.0017560707783271943	0.0	0.0	0.0001958790418058277	0.001571852606156095	2.6806250790883703e-05	0.0003060653262263936	0.001762861499682822	0.001640461461754311	0.0	0.002531653505230741	0.0	0.00013198348409247928
E2F2	0.0009595801323944038	0.0008629721934860864	0.001292893510686813	0.0007338239967964973	0.0	0.0	0.0009368551420358085	0.0	0.00010470300605402488	0.0	0.0010001754454573156	0.0010894151012544751	0.0013706253183203944	3.770378984916405e-05	0.0007379487073889534	0.00030109355691971656	0.0011945853363203162	0.000845543853515773	0.0018205174838386534	0.0018126065449689892	0.0004489950093194858	0.0	0.001989782702901638	0.000312281705376151	0.0014707280124007882	9.379026434808193e-05	0.0027991121090482373	0.0	0.0	0.0010442335611842515	0.0005430545760838172
HMGCL	0.001707305201157384	0.00033730764124639297	0.00010935499187982645	0.0016623853417677404	0.0006087840820465233	0.0	0.0017117764343341714	0.00018535960118478236	0.0006566768135793587	0.00031978900246751774	0.002309644200413637	0.0	0.00030563363237164656	0.0	0.0016001992158488313	0.00035051471085451524	0.0	0.0	0.0	0.0	0.0	0.0022432687956712594	0.0	0.004322276955764146	0.000452557533959603	0.002116611150415266	0.0014674111810509928	0.00044787992301332765	0.00018724691945012494	0.0	0.00035173643350091985
GRHL3	0.000593918576601486	0.0006694563513079169	0.0	0.0	0.0	0.0012497872512949465	2.784437126004584e-05	0.0003748313261295168	0.0	0.0	0.002419221718054713	0.0009523917183467336	0.002568412333028262	0.000496491792426653	0.0012662813488607454	0.0	0.0001311950287259469	0.0	0.001797619624903104	0.0014822230182239974	0.0	0.0011307316146669058	0.001203238375911169	0.0003774979816889603	0.0017495418191766415	0.0010141627606859243	0.0033718200033931054	0.0	0.0013792965499706824	0.0001006321190415147	0.0
RSRP1	0.0	0.0018318513777881421	0.001474170151289282	0.0017470737265086714	0.0	0.002099055830524453	0.0013764155193141544	0.0016976825272881056	0.0018467881110200534	0.0	2.005072448003613e-05	0.0	0.0010541217303012046	0.0003083281922822455	0.0005293128806163842	0.0019409653745993398	0.0	0.0007574113199852666	0.0	0.00023644403654356937	0.0	0.0012040400688113687	0.0	0.0004043158771399971	5.970997961182713e-05	0.0008323993414127154	0.0	0.0009734693069877198	0.00010614118879589076	0.0009847181050344283	0.0013466889779470412
EXTL1	0.0	0.0011266603265753959	0.0009910354481935482	0.0004922068915292851	0.00018776812304219427	0.0019475893787172687	0.0	0.0009235894215815383	0.0022546882038366224	0.0	0.0	0.0	0.001279731568139622	0.0	0.0016842322292733758	0.0	0.002928451797363304	0.0007388574734267479	0.0004994566766424593	0.0007021961881469844	0.0	0.002814075203085153	0.0	0.0008842784616950357	0.00019831482462811023	0.00010062584911393661	0.0	0.0024202687238065418	0.0	0.0006825275979390612	0.0011378065271801566
SLC30A2	0.0	0.0008138292336397256	0.000959698941276579	0.0	0.0	0.0	0.001291455913507653	0.002524005246721927	0.001266043904119654	0.0	0.001916040398237193	0.0	0.0	0.0	0.0	0.00041667118617500973	0.000899310557046947	0.0005538590588420746	0.0	0.00017079030202271395	0.0009097125128650467	0.0023849532984981073	0.00039903922392192247	0.003797171650627795	0.0	0.0020866103903260753	0.002183667031261118	0.0007979766536156256	0.00013840815986356262	1.514382987293977e-05	0.0017893527941566245
FAM110D	0.0017343208061655316	0.0	0.0	0.001961862040452668	0.0002714359764925113	0.0025000090453539806	0.00020024889384678897	0.0	0.0	0.00023116676909364762	0.00027409618516622923	0.0011723214409393808	0.0	0.0	0.0	0.0	0.0012247174177196641	0.0017800277383586876	0.0006938704334688517	0.0013352079137208593	0.0015657331764303403	0.0018131935170671686	0.0	0.00022880474505504648	0.001963787905975748	0.00011964126202253068	0.0008109355430471633	0.003359595828592634	0.0	0.0005940563280233789	0.000190415702604842
CEP85	0.0011860201494778575	0.0	0.001871236088414911	0.0	0.0005089908383451407	0.00011840372298106538	0.0006686629284989363	0.0	0.00027697107814310753	0.0010704119091540117	0.0018185573065046985	0.0	0.0008826250715140592	0.0016141514125187948	0.001889331275580177	0.00020492173152811423	0.0005056118735099313	0.0012147430991001986	0.0008020229483645478	0.002703080653867985	0.0	1.7620362886420325e-06	0.0019092808466247878	9.083396810775285e-05	0.001851525324451125	0.0005939288401023966	0.0004967831694951708	0.00039240470908275514	0.0	0.0	0.0
SRSF4	0.0	0.002041987381263901	0.0012366115705314353	0.0020593605602013663	0.0	0.0002889816888646893	0.0009066176338756722	1.0602891181469757e-05	0.0007432135342164207	0.0	0.0	0.0028706703394061933	0.0021562065482182155	0.0014380848894887115	0.0008424342030015442	0.0014334464623902607	8.097735717540086e-05	0.00039534783235792097	0.0017720277497277985	0.0	0.0	0.00038693414507033754	0.00031536111965087493	0.00022718596608311867	0.0	0.00040892044896172463	0.0007753036128897622	0.0007789918470044332	0.0	0.000467599198328379	0.0005035117858101003
MATN1	0.0	0.0007533626287169161	0.0007909425530144986	0.0013154657444122185	0.0	0.00027063387248316053	0.0003401500502759911	0.003510366951698416	0.003063799411083345	0.0002517638443778251	0.00041092433481582633	0.0	0.0	0.0	0.0015452710130868703	0.0	0.0007964512851665658	5.6713931600288385e-05	0.0	0.0	0.0005792747972875579	0.0019834175615476212	0.0	0.0010261382084666671	0.0014851484162027515	0.0002924930782593563	0.0008920097547158747	0.0017710438771359554	0.0013914434389182757	0.0007261035864718868	0.001296894186739783
