	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
CHD1L	0.0006942643219634664	0.0017926389636050513	0.000773262932024789	0.004972026487454396	0.0	0.002967975302031278	0.0007343417362249809	0.0033484024044304612	0.0027167658760035474	0.0013729438275239551	0.00112974525757601	0.0024107917643876936	0.0015653594755962261	0.0	0.00208033444001377
CIART	0.00185465462535323	0.003487385843309567	0.0	0.0021401309819142483	0.0015394446256594843	0.0012499046025907185	0.0	0.0025130936291452477	0.0	0.009010520872870551	6.286790320760341e-05	0.0007545321468892758	0.0	0.0007239753523717768	0.003413688341858758
GOLPH3L	0.0	0.0	0.009016209009461408	8.026482254593455e-05	0.0016987067103279882	0.0008234954537719927	0.0	0.0022484891040497256	0.0	0.0016169013384219081	0.00430593494004815	0.0009374141111209308	0.0032749864165660058	0.000628776991882267	0.0034000560615038288
RFX5	0.0	0.002170149411367927	0.0007499411862125315	0.0	0.007164464019709648	0.0015830885249938432	0.0004851286716954348	0.002694616073859337	0.003486013679428467	0.0	0.0	0.003824870130966231	0.0015295950845205686	2.928361041864843e-05	0.005358633116485925
OAZ3	0.0	0.0	0.0015217234964215588	0.002120566270550621	0.0065484531648954064	0.00390944128390488	0.0004502808636605597	0.0016113925091476007	0.000625488529707665	0.004330379823098201	0.0017968913312708494	0.00042126363022393934	0.0016467420413656386	0.001133188810339109	0.0004935670496764378
LMNA	0.0	0.003676643139392334	0.003045898644630441	0.0008715552483627003	0.004917475095885541	0.0007831251366578839	0.0	0.0008160854648745756	0.0008951384826759754	0.0011771908399175793	0.0020166021034598797	0.004472067711025788	0.003308750857149779	0.0005602583483583334	0.0
NES	0.000530058810365198	0.000291708651420231	0.0	0.0023520209278872846	0.003869251797255476	0.0022016236934742765	0.003922312499267305	0.0036412272428871734	0.0040674182273154795	0.0032393769013935887	0.0	0.0007292102555592747	0.0006516989352139734	0.0	0.0005743570650722142
TMCO1	0.003061775644638374	0.0	0.0003082397829624686	0.002436829786325953	0.0	0.0	0.0029259943034702206	0.0017654766200840772	0.0	0.003946198062893839	0.0047143909257245905	0.0010200218998559607	0.0001115088953779394	0.004167239452589097	0.003751196744632185
RCSD1	0.00239568645867064	0.004762390819773491	0.00047177322319701955	0.005453334524879565	0.0	2.54073758914917e-05	0.0004594243546291683	0.00497897382546575	0.0	0.0	0.0001462271476398189	0.0015027167535294837	0.0	0.002072933050369912	0.0021618022507814767
SCYL3	0.0	0.002229682893336354	0.003953112129895373	0.0	0.004215460017831342	0.001839656709046429	0.0018549494140426626	0.0	0.0	0.0018893398917623394	0.00456173453716933	0.0016648078035162728	0.002826366768539943	0.0	0.0032716229093135967
ANGPTL1	0.0015088188855761177	0.0	0.0007643168314282135	0.0019509209954438906	0.003331933558917008	0.0037771449792661812	0.0028851115490212565	0.0	0.0024835511024613147	0.0003844928906264321	0.0019404430129387204	0.00147894303916851	0.003104261588453286	0.0022765593444604125	0.0016096290860610441
PTGS2	0.0024015839718688884	0.005990074596628233	0.001575334831827811	0.001783955999650503	0.0	0.00037534529203896855	0.0	0.003169764017951204	0.0008469270207262987	0.002394513767277429	0.002877151847547391	0.0009537416015787876	0.0009060385873805082	0.0	0.0
KDM5B	0.0	0.0015077064283171302	0.004665841490456719	0.004286892656584364	0.0035490815494554897	0.003537042644110986	0.0	0.0027557273502924	0.0	0.000840803409403709	0.0023424824510173874	0.0	0.0	0.0015241725493558935	0.0
MRPL55	0.0020699678586814972	0.0	0.0	0.0	0.0	0.00014127241245854988	0.0028913914953591145	0.00530357353729397	0.0027267927718265085	0.0010712994328970242	0.003766351619058848	0.0035672999314499297	0.0010319003077193627	0.0039662155383639545	0.002786557540911351
KCNK1	0.0	0.001902966079035965	0.006024199785470003	0.0006262879013951268	0.0017536734982678828	0.00500615079638536	0.0	0.0	0.00013885825935976137	0.0007989034268906799	0.0	0.0009587404385149816	0.0032775552958933876	0.0022138323799002764	0.006271154810989407
WDR64	0.0	0.0004992267341919379	0.004434117912373282	0.001682427232805904	0.0049965521305897105	0.0030540321919028863	0.0	0.00413182159886725	0.0002131907341494314	0.0037689477977342844	0.000942685941429093	0.0	0.0	0.001528791788728434	0.0007427778621739189
SNTG2	0.001687922667345156	0.0008614835808534989	0.0013405431897041639	0.0014629622729423707	0.00196878987357613	0.004595260820216609	0.002985755365420757	0.0	0.002955944438676616	0.001311883577274951	0.0021814254632937496	0.0	0.0	0.004887219997347019	0.0
KLF11	0.00026664671304834194	0.0	0.0028339494770373026	0.00045958070886771037	0.003621580770190384	0.0028730469456138903	0.0037916948479755604	0.002121777953341778	0.0	0.0020872201824483987	0.0018333759643896714	0.002066422023818866	0.002056357594889061	0.000617122978474931	0.003976918691478591
GREB1	0.0035234991789949593	0.0	0.0	0.0	0.001323631990549704	0.0011002483196694485	0.004742218785084461	0.0020347155469076002	0.0023909625147935432	0.0029725219679358965	0.0007268866571446151	2.6423204049174602e-05	0.005291022166756649	0.0	0.0024905916680756385
NTSR2	0.002072613705980578	0.0018139718354587473	0.0006091869446210753	0.0010201200242929106	0.0	0.003909129606462487	0.003348681685483045	0.0	0.004229709724325514	0.0005291598447184697	0.001540069922791214	0.0013849845141565085	0.0	0.0031305275789822373	0.004571050829178833
CENPO	0.0015592339655997323	0.0	0.0019657327953578915	0.0007917894308018865	0.005555247082399035	0.0	0.0	0.0012153467181204723	0.006805602407601946	0.003920834344814529	0.0025769930686997482	0.0	0.0	0.0005084998044017724	0.0021456067637688906
ADGRF3	0.0006340219726109539	0.000642025455600053	0.0034353622013764957	0.001964502220149467	0.00350570559299478	0.0	0.004741062026316495	0.002086509507537012	0.0022418408484735134	0.0015049570323038338	0.0006479714828082278	0.0009877889946611144	0.0006552178023794147	0.0	0.003679017193939334
FAM166C	0.0028211497927468914	0.0	0.0018177137915508614	0.0	0.001855782349136358	0.0004267240063662053	0.0	0.0	0.0038298030741971143	0.008290139018070849	0.0	0.0006839468807576464	0.0062105060584169355	0.0	0.0013705547803432281
KRTCAP3	0.0	0.0029438747538534553	0.0072871235270538445	0.0004643700182761114	0.003471575944011988	0.002257636078463084	8.826209126782209e-05	0.003332287037108323	0.0006027319315940624	0.0003610537015258285	0.0015157859541441816	0.0	0.0004411948577331101	0.0009414593787818	0.0
