	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27
11413170	0.0	0.0	0.009115611254987948	0.0	0.03492355384142445	0.0	0.03863396610567581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02680206104407878	0.002456049449995039	0.0	0.0	0.0	0.0	0.0023991947495257972	0.0	0.0	0.0405440780312977	0.0	0.0	0.0
11453772	0.0	0.01566464714863253	0.0	0.07689696106753394	0.0	0.0	0.002671170589317381	0.0	0.0	0.023111717715991072	0.0	0.0	0.0	0.0	0.0	0.0	0.012155276100620374	0.0	0.0	0.0004961417150510755	0.0	0.0	0.011442072497983199	0.0	0.0	0.0	0.03498141845921838
11606935	0.0	0.06006353715312167	0.0	0.02756147616678105	0.0057439390727093845	0.0	0.0	0.0	0.0034592471660926747	0.0	0.0	0.0	0.0	0.0	0.001956764987427351	0.0	0.0	0.0	0.015449031108729744	0.0013987317066507948	0.004950232016515384	0.0	0.0062588943542585184	0.01698382452894175	0.0	0.0	0.0
11616707	0.0007258414682563887	0.0	0.001982213156943895	0.0	0.017405016981040335	0.013013221143511874	0.018289114545505743	0.0	0.0	0.01898937672688296	0.0	0.0029170789413527245	0.0	0.001666410323815922	0.0	0.012055929845600664	0.00872342816232597	0.0	0.0	0.0	0.04735653448669955	0.0	0.0	0.01819912812913059	0.0	0.007460104808583887	0.0
11619606	0.0	0.0	0.0	0.003361289120188327	0.0	0.01609344958202935	0.01830661739877622	0.0029168088211789503	0.0	0.0	0.0063569449332617385	0.0	0.02252967108329834	0.0	0.012118151997327136	0.0	0.0	0.005669994596258241	0.004073788844842036	0.00041038055811611616	0.059488153156299996	0.0	0.0	0.00906278051303879	0.02616827827545671	0.018853830440878766	0.0
11652071	0.0	0.0	0.0	0.00985773179408003	0.017491529511818257	0.0	0.0259825954138645	0.0	0.004416807502057062	0.0	0.008594682910597796	0.0	0.0016112546800607403	0.0	0.03431387914757066	0.0	0.0	0.013934196962444327	0.008153043225435988	0.0	0.03153063767490762	0.0	0.0005076453867701971	0.00595186732412934	0.00480925113965923	0.0	0.0
1243685	0.0	0.0	0.007498387410542394	0.0	0.04805905663081663	0.0	0.0	0.004352708292907379	0.0	0.01901778469991896	0.0	0.031448054141228185	0.0	0.0	0.0	0.0	0.0	0.0	0.003280079094786542	0.0	0.015868197205291108	0.02853820220801624	0.0	0.0	0.0	0.0	0.0
14498577	0.004198228993947942	0.0017583252897064063	0.004324193529859711	0.006160902354229908	0.01233028796324395	0.0	0.0	0.01348894532851319	0.011362614397365646	0.003491057832592727	0.02651629160600823	0.0	0.010430921777192063	0.009237604291415973	0.01584425623874237	0.0032994686950778996	0.0	0.0028320527641591945	0.003951282882165045	0.006078812462464058	0.002422222860030155	0.002313332646184606	0.019271378735776418	0.014835325358026164	0.0	0.0	0.0
14641578	0.002810931716476809	0.007620678215669745	0.036687150178657625	0.0	0.0024711338456866404	0.004399637922444535	0.0	0.0037043395555931623	0.0	0.01358295284758271	0.0	0.01181009120249878	0.016958806703798474	0.02698922054152686	0.010860713001586099	0.002850639846818031	0.0004884240370406655	0.0	0.003820617554442531	0.0020260591035563894	0.0	0.0	0.0	0.0011458052395230845	0.0046699668756565275	0.0	0.010619033205332234
15387421	0.002991821273321001	0.0	0.0	0.002268794097232476	0.0	0.015309177442136003	0.00215121651767094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03198634174358068	0.0	0.06328859956994991	0.0	0.052853473257430776	0.011560082962678766	0.0	0.0	0.0	0.0015500714706827255	0.0	0.0
