	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
GALK1	0.0032136471867126545	0.0	0.0	0.00296004980060328	0.0	0.0046507998405190204	0.0012087404144090848	0.002057433924079871	0.0014522356064025294	0.0006443127131839334	0.0006403596933292169	0.001668981850455012	0.0	0.002327810381384807	0.0026345895823825516	0.001598928659358143	0.002873595112389555
WBP2	0.0	0.002022648807850993	0.003609535272932616	0.0005792136895843117	0.00044193439112248835	0.0010448211184414717	0.0014410389211432972	0.00391790405989689	0.002320300150731157	0.0023816105972643974	0.0009449493574441044	0.004123985806790593	0.0018462394453471727	0.0021194462621947426	0.0002202647252386688	0.0004891580900574602	0.0013086776096813226
SRP68	0.002541629981045636	0.0	0.0019105828807107414	0.0030272203589429138	0.0014225031572494135	0.0025139423961340725	0.0015799553470144756	0.001228624428874779	0.0019718834748183867	0.0015396927755327164	0.0	0.0	0.005329395186842295	0.0	0.00046712917808918326	0.0006190311313802982	0.0034600819939192232
ZACN	0.0018991213031459098	0.0045051495270867084	0.0	0.0	0.0010011705795176977	0.003126261155744118	0.0	0.0029629477865364415	0.0	0.004266299412469934	0.00041743700547638545	0.001002886337492882	0.003179135226924796	0.0033379832782138292	0.0009654891850086932	0.00044443216233015103	0.0
FOXJ1	0.0022289064500668407	0.0027866347468966154	0.0016789276138795511	0.00254869945207663	0.0009727165626018815	0.002203793492442535	0.002333840651302354	0.0	0.0016026557818844308	0.001842629308571825	0.0	0.002656084328301514	0.0011358604874919626	0.002428953589277371	0.0005725685962996376	0.00018245511804293953	0.0005579142201867692
LGALS3BP	0.0021584894901917145	0.004184930694815199	5.232969510490017e-05	0.0	0.002940996752296043	0.0	0.00458611252375187	0.0031185103071485914	0.0004816944904214934	0.00014252938002386385	0.002823946771787674	0.0009244672093557716	0.0020146250282347747	0.0	0.0	0.0014965619951835287	0.002641352281447261
RAB12	0.0025837014180666	0.0007230862157987059	0.0	0.002124101141863817	0.0004161329178774605	0.0030137307668500752	0.0004121383053666066	0.00342045842234883	0.0	0.0015330484936284833	0.0	0.0021320845256450976	0.004220160365199802	0.0031658963065226407	0.002545467826869864	0.0009316730172803817	0.0009673597510841078
ANKRD12	0.0013817997426897883	0.0005780622868534185	0.0017950938606217154	0.00014172037093673754	0.004739777727018002	0.0011728813696215582	0.004359587214361155	0.0001807864907399824	0.0029020730515789063	0.00016897993699943064	0.0026283891897405736	0.0	0.004123267279479148	0.0	0.0020986142690584604	0.0	0.0019534025664587566
CIDEA	0.00028622073396054025	0.0	0.0012096571086383956	0.0015906247708617042	0.0	0.002964222574070518	0.0029800443697374367	0.0016903445349959138	0.007728819734612935	0.0	0.001884407941265941	0.0	0.0	0.003299324206156074	0.0014271007151171198	0.002226061507643888	0.004498610232022916
PTPN2	0.00268151618924275	0.0014705207391492317	0.0	0.0024506722343311045	0.0036456127769625697	0.0010336116830074508	0.0012000120417722203	0.0	0.0027324413973145974	0.0013657643952401776	0.0005863333261586127	0.003124505534704762	0.002767642290165135	0.0010643901895757823	0.0	0.0022602646497325357	0.0
OSBPL1A	0.0003556499398946528	0.0	0.003438699446388698	0.0	0.00042219389428365593	0.004333692741567285	0.0027475617222005107	0.0002998101915549225	0.005066787836269669	0.00279695780970836	0.0024946322114766605	0.0	0.0	0.0012967114913765105	0.002048237112224057	0.0040976039123409155	0.0
SLC14A2	0.0036991370170193867	0.002713892348092481	0.0	0.0004952526908060121	0.0016761064805187735	0.0	0.002960080983945158	0.0032894589010124555	0.0008984372987737157	0.002627816518902266	0.0021495715935213318	0.0009258736281136495	0.0	0.0023819775292178696	0.0019185140656114033	0.000373802381004249	0.0
PIAS2	0.0032137532435543526	0.0011595447535655674	0.0	0.0020660180199664766	0.004322496519889203	0.0015195583578016818	0.0	0.00012889676058645719	0.0004888180939084135	0.0	0.001164552429137889	0.0008244516746264603	0.004414885063592009	0.0009501720993585982	0.0026781105120380773	0.0038920858461402416	0.0
C18orf32	0.0006354958641471764	0.0001238505345784181	0.003087083940336002	0.0	0.00026013750710789666	0.0004415233176777774	0.004588288864463479	0.0009488820976260128	0.004918453479336979	0.004482275856435045	0.0	0.004687242729567958	0.0	0.002877705017806997	9.587538838200055e-05	0.0005914847376847758	0.0024070261003743426
CCDC68	0.0012803714031369095	0.004009175248978266	0.0003380487951732674	0.000730791476685919	0.0010881742963145165	0.0010089424406290138	0.0001827989828272346	0.0030019362292949235	0.002279929352401521	0.0	0.0019471972032632792	0.0010545231125955342	0.0011174839651339234	0.001450319819595433	0.0018479563278555459	0.005112951143389429	0.004287950133596384
TCF4	0.003005791985199591	0.002246657695532379	0.0	0.001107221055842355	0.0011097663140538683	0.0017260693535904588	0.0009166617234991239	0.004108578219141851	0.0	0.0008277460271885384	0.0007524523965033946	0.0	0.0016476763395428164	0.0037975688777663816	0.0035605582915224578	0.0027907320804519205	0.0
CCDC102B	0.0026027603466024568	0.0	0.001792715005071492	0.0036894618147953833	0.0022506820592330793	8.415116380831641e-05	0.0006157061277001855	0.0011234706425585132	0.0009766812927132404	0.0002986900161327739	0.0	0.00728440543547453	0.004120942058201248	0.0	0.0	0.0016444438147467338	0.0
RTTN	0.002168386594607798	0.002946821008338439	0.00038119358467697447	0.0	0.0012861338862505006	0.0011886884456257752	0.002229703661763905	0.005381363558826012	0.0	0.00019825427338975902	0.00088950303452967	0.0	0.005244427587367106	0.0023830926494370574	0.001543776309391743	0.0015297410137344544	0.00015492981083961864
WDR18	0.001794650899656389	0.0019280259686434986	0.00034361691566220127	0.0033075216645668793	0.0011773606832263393	0.004847088933914522	0.0008531064725306359	0.0012033722226966557	0.0	0.001008189875468458	0.0030403308698829755	0.0018486924591945046	0.002909551742708563	0.0007593846702182037	1.6990243299522444e-06	0.001333906845111993	0.0
GRIN3B	0.003383810023289817	0.00394537229423257	0.0	0.0018084941807095126	0.0	0.0016170418101446905	0.002131528463262484	0.003400424059390896	0.00024274416500538046	0.0015785274094515494	0.0015881515639466488	6.45859318914892e-05	0.0	0.003494392301955398	0.001567741643604649	0.0003491414126612211	0.0006744581228421272
CNN2	0.0019616681116227056	0.005726859100775852	0.0	0.0024535442999667335	0.002890960273704764	0.0018690874708926005	0.0	0.0	0.0	0.003050481413533035	0.002509033904587206	0.0	0.001131066099901381	0.002169874365356735	0.001347886566103617	6.967823345151287e-05	0.0007854753699599517
AMH	0.002898028755392965	0.0047604716459532905	0.0	0.0002092849287019511	0.0	0.0018015064973063064	0.0020544575610069614	0.0033609630898999193	0.0	0.002998104800400312	0.0016136497332497589	0.001667628568047854	0.0	0.0008907369052878808	0.0024116224823283305	0.0020688112419726666	0.0
LINGO3	0.0006234207164506121	0.0	0.0026589319281411002	0.002097313358544381	0.00024968165835823926	0.00021954738295664982	0.0026420275150189497	0.0035714507564247066	0.003602848629903276	0.0022771545718063414	0.000942506038629438	0.006335784257963711	0.0	0.0	0.0	0.0024052256231131123	0.002601782616135293
LMNB2	0.00040822205385374283	0.0	0.002023193009198482	3.6986373134221595e-05	0.002873581503741053	0.0008864549966052961	0.0020997944491526867	0.0009908238871624863	0.0077395488873015	0.0	0.0017650209963750846	0.0027290899974076366	0.0003453324063058175	0.0026127907386641544	0.00166500135711257	0.0012441901922997825	0.0030717896711135607
MFSD12	0.003749387152235098	0.004331141016700736	0.0	0.001705270482548592	0.0002810347913430926	0.00021165402068776474	0.0031462797778482677	0.0014060319391616483	0.0003610427949015859	0.00020305597553150337	0.0011252398535128733	0.0019893916145453314	0.0	0.0024309816246692387	0.0021299447775321436	0.001090014008388273	0.0024550560155233623
HMG20B	0.0	0.0	0.005208126448584264	0.0	7.427524345783609e-05	0.001269487664714457	0.0027174980754969963	0.0016587977217517973	0.0005219210674664808	0.0008528964773633805	0.000245509136178157	0.004991008226878227	0.0031591238680899474	0.005063716290268207	0.001153633685883435	0.0007152034238297745	0.003600901322742442
PLIN3	0.0036204342270215475	0.004609472767286382	0.0	0.003073063888397158	0.0	0.0014708419200959927	0.001986579533616188	0.00150592556742085	0.002591634687976959	0.0	0.00016814384016673002	0.0013938810192295882	0.0010866872449681363	0.0018418668138576576	0.0006662088032095997	0.0	0.0010692740471763655
ARRDC5	3.2250473738824e-05	0.0	0.0037232517533279334	0.0024849253653356465	0.0005712320658101548	0.006089041536437016	0.0	0.0	0.004265002213885724	2.638986241924294e-05	0.0013448717962142621	0.0	0.003751939296189064	0.0022359291494244136	0.0011666195588745309	0.0019791039503433677	0.0012116577414510296
UHRF1	0.0	0.0	0.002612154987769754	0.0	0.0029617050116667997	0.00194235405159722	0.0032626014563695177	0.00013730915749717148	0.009016369063155292	0.0	0.0	0.0	0.0	0.005484363293927676	0.0013490272624192175	0.0015317568455090328	0.002143738063014127
MICOS13	0.001508960380749699	0.0010390017675209397	0.002747264459434448	0.0026411850422799433	0.0017107914692417478	0.0	0.0	0.0011349610845548717	0.0033785698052450817	0.0042046195535518395	0.0	0.0014586985500293108	0.0	0.0033980898827002046	0.0030305169941657055	0.0	0.003116756808835828
ALKBH7	0.0033221356173613412	0.002934125693902012	0.0	0.0049936972930016265	0.0004399734207380298	0.003060873718157711	9.872286957193913e-05	0.0010921632031071276	0.0012037531635102632	0.0	0.0017557322369261973	0.0015853247562125125	0.00020608365428170545	0.0	0.0017336177274821104	0.0012370842345482509	0.0018572262781888017
SLC25A23	0.00012868309200679152	0.0	0.0030309230435296513	0.0029688447900203733	0.0	0.002069293130221567	0.0018985054086832819	0.0	0.006530029346625788	0.0020527041848180726	0.0009565051738890223	0.0022469657921132457	0.0	0.0019487658299348414	0.0	0.004008120105419591	0.002964007569327645
FBN3	0.0032779277163712396	0.005123790301884489	0.0	3.058114452335053e-05	0.0007705826305446023	0.003375258409037522	0.0024241728174391733	0.00209772849664651	0.0	0.0006256455336561291	0.0	0.003419803737650035	0.0020020339916719397	0.0002479175031323926	0.0008604787769105573	0.0	0.0006072979866833415
