	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42
COL23A1	0.004873465776227475	0.004735064749884937	0.0	0.0	0.0	0.00018312720566743019	0.009440182653084066	0.0	0.0	0.0	0.0	0.0	0.0	0.0021529767577975435	0.0010220127923903266	0.0	0.0037829101876531252	0.0	0.004266495322507716	0.0024917786761010866	0.0	0.0	0.002976537437049576	0.0	0.0	0.0	0.004647371609442931	0.004666255453119443	0.0	0.0009961515801909756	0.0019412749188003264	0.00048530783493312517	0.00034711871305653894	0.0	0.001054896001240787	0.004554630669790903	0.0	0.0	0.012122460467698062	0.002402098841134613	0.0	0.0
CNOT6	0.0	0.0	0.007542945442727771	0.0043024898762810465	3.1055752917879065e-05	0.007131144743203414	0.0	0.0014291204897088424	0.0	0.004096928021006159	0.0008621803142983931	0.0028547548732639526	0.0005930575461480955	0.002214027919634097	0.0	0.0030573872132643267	0.0	0.0	0.002432560352499191	0.0	0.0	0.007937492095278116	0.002451096571326517	0.005722406924511002	0.0	0.0009149312347631031	0.0	0.0009774701712677103	0.00733061626800658	0.0	0.0	0.0	0.0	0.002097943855690992	0.0	0.0	0.0	0.0	0.0018886331002135113	0.0	0.0009981948181078523	0.002688987221274543
CDYL	0.0	0.0	0.0	0.00038297778672079176	0.0	0.0007429813060569859	0.003581521732839732	0.0002214192139980342	0.0031741640123212527	0.0033603487660207407	0.0	0.0	0.0019277386146364446	0.005561281562461509	0.0009107684567162161	0.0	0.0	0.0	0.0	0.006882177245083781	0.006565935533782818	0.0	0.0003853183344200745	0.002670471634494396	0.0043991022962711545	0.005738082716162854	0.0	0.0	0.0	0.0004732916080759866	0.0	0.0	0.0	0.01165268823708258	0.0	0.005031402930320418	0.0	0.0	0.0	0.006605429716417182	0.0	0.0
ZSCAN31	0.0	0.0	0.008298777013466773	0.0043238691368257705	0.0	0.0	0.0	0.004397070525496439	0.005057335133847372	0.004648218015401803	0.0	0.002517943284145934	0.003109905657594275	0.00032664013169341854	0.0	0.004849001726544734	0.0	0.0	0.0014070358832171676	0.0	0.0	0.002132021690436119	0.00505759140875632	0.0	0.0008691751110595454	0.0018477822851402901	0.0	0.0	0.0010653087202788989	0.0	0.002531842584374773	0.0007848148543521306	0.0075882009772689244	0.007529553220724704	0.0	0.0	0.0	0.0	0.0	0.000621176336153362	0.00014041508192785953	0.0
ZNF311	0.0	0.0	0.003685635532198508	0.0	0.0	0.00036001453375925785	0.0	0.0025320825734340886	0.0023738249758523296	0.0017486032071319486	0.004457811462408796	0.00135620032679049	0.0	0.0034163872936334013	0.0	0.006649185805396089	0.0	0.004401938820561002	0.0	0.0	0.0	0.002676634420187482	0.0012438167902529278	0.004324325476109059	0.0004173454003747434	0.009617035003476913	0.0	0.0033641480197767488	0.0007286085540573547	0.0	0.002462477496431426	0.0003986643025974362	0.006319493321041971	0.002032004530145334	0.0	0.0	0.0	0.0	0.0	0.0	0.0039196532553999195	0.0012612880730743085
VWA7	0.0008730990912100799	0.0	0.007847920273254995	0.0014960730389718577	0.00015482971356356912	0.0	0.0	0.0009465345160696569	0.002053825949084663	0.0008639243105250647	0.0	0.0026265408493869385	0.002461828106017995	0.007946879245223495	0.0	0.0005928548333077658	0.0	0.007538605355716841	0.0008226961606369748	0.0	0.0	0.006957904377466934	0.004381035225860801	0.0029502841377927473	0.0	0.0	0.002485381302678761	0.0	0.0057244049325637855	0.0	0.0	0.0	0.0015818359261990365	0.0012046995256303297	0.0	0.0	0.0020191145091831265	0.0	0.0025570953866550037	0.0	0.0010669068742780066	0.0026515629318862597
DXO	0.0	0.0	0.0	0.0	0.0	4.179262534476344e-05	0.010591966640749139	0.0025832311535561297	0.0	0.0	0.0	0.0	0.000790108500606367	0.007341819205217815	0.0006436817547984904	0.0060199693899557335	0.00035550230879879957	0.004704303286425131	0.004632260840747336	0.0	0.006465454162166717	0.0	0.0	0.0018519988753214912	0.002850370236182278	0.002566745977717801	0.0	0.007886692277306455	0.0004449038421071263	0.0	0.0027129848231727603	0.0	0.002786112657630339	0.0	0.0	0.0014047106559764379	0.0	0.0	0.00031342683472710835	0.0	0.003303225452382653	0.0
SLC39A7	0.0	3.028843116357585e-05	0.0026776916098487312	0.0016671042102867006	0.0	0.0	0.0	0.0009230658885853499	0.0025040109716884485	0.004439140705859086	0.0029711491836686525	0.005247381590184956	0.0017886123781329748	0.0	0.0	0.008128621437394958	0.0	0.000262089548731497	0.0	0.0	0.0	0.0	0.0008548839835794978	0.0047874536992091295	0.003845382985271293	0.0007270917561325487	0.0	0.0	0.0015454510064334993	0.004768456057094613	0.002791348597452891	0.002413631175586573	0.0059571210797677975	0.003950695027143493	0.0016292943856663748	0.0017375418677393467	0.0	0.0	0.0	0.0	0.00076218334345892	0.003578156895961961
ZBTB22	0.00048148541438827345	0.0	0.0005694294864592862	0.0	0.0	0.0060853061449698265	0.0005736126904174028	0.0012252521566535695	0.0	0.007230096536069837	0.0	0.0	0.0	0.0009487027195175924	0.007540029234588424	0.0	9.440043673637337e-05	0.0	0.0	0.003196341727933082	0.0	0.0034775029298813407	0.0017641799952732302	0.008257514813795445	2.5362869528230948e-05	0.0022876281523498245	0.006013039875590836	0.003145903585628526	0.0012808966098662657	0.0	0.0	0.0	0.0007954828090778213	0.0012622443124634798	0.0	0.00031757436143634797	0.0034653954894575756	0.0	0.0005620453620833691	0.0	0.008701028600294997	0.0
TTBK1	0.004496082370842721	0.0018740362830313878	0.0022255488055910673	0.004942691065387404	0.0022420016108391414	0.0	0.0	0.0042257094021327666	0.0	0.0	0.0007074210749293031	0.000649021157435106	2.069657563755798e-05	0.0	0.0015912039924152912	0.0	0.0	0.004869150205411928	0.0	0.0071160883610147	2.286504785579554e-05	0.0	0.0	0.0	0.0	0.0	0.00022239412966600303	0.0	0.0001948374862301478	0.0009879567393956089	0.0022344038034970673	0.006724697586776833	0.007886752990406523	0.002811083250768357	0.010430760593579138	0.0011127061013567158	0.0	0.0	0.0	0.0018817779449795664	0.00010222212076305349	0.0
