	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42
PDE10A	0.008286011096332641	0.0	0.0	0.006832919462872293	0.0	0.0020028992067506212	0.0	0.0	0.005023405686143028	0.0009172024226774038	0.013497384826857705	0.00027460065935736754	0.0	0.0035039629960428365	0.0	0.0006034708444096295	0.0	0.027755577649060472	0.0016050004536069112	0.0	0.0012864513627667822	0.021210784419335566	0.007511893618637126	0.0	0.0	0.0016824417893728624	0.0	0.0	0.001958585756580151	0.0	0.0021377722821137326	0.010606091348430987	0.004448177190843278	0.0	0.0	0.008564721458629463	0.0	0.0	0.00837373588163748	0.0	0.00438621389189035	0.0019262519165545626
SMOC2	0.0	0.0	0.010100213459865396	0.004962257507295056	0.0	0.010368129924776035	0.0	0.005001772308615411	0.0	0.00916363113485186	0.0	0.0006816573355046619	0.008364232123032571	0.003403909719410193	0.006082641008940068	0.0	0.017441666640549535	0.0	0.00034145319006826074	0.0024484952883994625	0.0	0.0	0.005777379978236432	0.001580338789967747	0.0	0.0034545304028801185	0.0	0.0	0.006713583722721633	0.0	0.007680056465928416	0.004146571111669101	0.015977989026362126	0.0	0.0	0.0035001336424788265	0.007372983339244917	0.0	0.0	0.011082512679602951	0.0	0.0
SCIN	0.0	0.0	0.003879683230989207	0.002053795365825368	0.01150904647749301	0.0004895133989009078	0.0	0.0	0.0	0.0	0.00015165329606975863	0.0	0.010985806145647519	0.0	0.013132965862088156	0.0	0.0	0.007451652054811675	0.00563370681645684	0.00914076874408545	0.0	0.0	0.0	0.006346217200548664	0.0	0.0002962807050513129	0.006813377194716251	0.017899290400829427	0.01115022191688506	0.011383539876465008	0.0	0.005166635992315829	0.0002447948414911236	0.0	0.0	0.0	0.0	0.0	0.0	0.0016727553541853425	0.0005435615355857033	0.01969412988847813
TWIST1	0.0	0.005840395390397476	0.0002411231988839383	0.0029998924431443373	0.010559094424524487	0.012512620612520696	0.0	0.007384343936792612	0.0	8.059596746799462e-05	0.0	0.0	0.021483430030299087	0.0	0.0	0.0	0.004406363768429768	0.0015170884002133553	0.0	0.0	0.0021107198582805665	0.0	0.0	0.011953068852960474	0.0	0.0	0.01147412820125042	0.0010435372818176812	0.016594033797992323	0.005687274803474387	0.001154356249658565	0.0	0.0013849620674063318	0.0	0.00443971779037904	0.0	0.0002619235274227469	0.0	0.0009410071664545058	0.008699474403481285	0.0	0.012052005852335637
NPSR1	0.0	0.0	0.009753130675193428	0.0	0.0	0.00270369495128054	0.004915180998775611	0.026343004598616753	0.0	0.0	0.006830962362524293	0.0	0.0011123820082215498	0.0	0.0	0.0061269940016319534	0.012595480747503772	0.0	0.0	0.0	0.0	0.0	0.0	0.0019282769159466625	0.00845983088934813	0.001028812810983427	0.0	0.0	0.0012663574095331705	0.006481037479144356	0.0	0.003433393737799158	0.0	0.006673776114234561	0.0012170728568915725	0.008820002935596736	0.0	0.009518147657862564	0.020276022322063384	0.006124888548568411	0.0	0.0
EEPD1	0.0	0.0	0.0	0.01016204486587352	0.0013358653029260463	0.0	0.0065580011842962405	0.0	0.007240829230022296	0.0	0.0019553155728287567	0.00631560254872599	0.0	0.008581521467682587	0.014272439588464738	0.005594157811693039	0.005002197768714449	0.0	0.023314243529418202	0.0	0.003627559199931752	0.0	0.0	0.009186482324771914	0.011408129439987211	0.01262612604443339	0.0031194011839446433	0.0	0.0	0.0	0.0	0.0	0.004126123635915231	0.0034131387836031884	0.0	0.0	0.0	0.006995406150690046	0.0	0.0	0.0	0.0
PPIA	0.01507454317541377	0.0	0.0	0.0	0.009879373416793116	0.0	0.0051295557231881474	0.0	0.006027270345014292	0.0	0.007522110200639516	0.0	0.0	0.01622721276734344	0.0036714816885109716	0.012550142886510187	0.0	0.0007815100597066942	0.0	0.003706847582247375	0.006608043275693559	0.004275519246002549	0.0	0.012784754072164093	0.010790412566477742	0.007651448789189454	0.0011447952668787033	0.0	0.0	0.005593681300443648	0.0	0.0036957786932440857	0.0	0.0012779262173932674	0.0	0.0055235206037568445	0.0	0.0020269802421485888	0.00045916601288642706	0.0	0.0	0.0
IGFBP1	0.0	0.0	0.0	0.0005517516348826416	0.0051329635021152295	0.0	0.004235762313230711	0.0	0.010089402496722391	0.014167733680626909	0.0	0.005343458889696982	0.0011313883462790186	0.01017974676614204	0.008438543754582702	0.022755416903335293	0.0	0.0	0.0	0.009809168044330588	0.004326366390532851	0.0001702055249698867	0.0	0.0	0.0	0.0	0.0	0.0	7.590533013774838e-05	0.0	0.0	0.0	0.0007140210916180175	0.0	0.0004827763312286982	0.01764257833617291	0.013884382590387516	0.0	0.006853936005350763	0.0	0.008969611856112262	0.0
LANCL2	0.0	0.0042430435112857995	0.0	0.0	0.0	0.0	0.0	0.00035782830401765966	0.01056966229915751	0.0	0.017683372623586425	0.004732513253182406	0.004720218549082757	0.004270043896699396	0.005861281200807682	0.0	0.0	0.0	0.0	0.0027948912152987652	0.0	0.02629316338934324	0.003785837613520993	0.017054227095416433	0.002796315347318508	0.0052936628622019455	0.0	0.0003048535643394544	3.8876704760506015e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0011818929941998903	0.007712224414555242	0.0	0.0	0.02418722210564419	0.0012485562327416437	0.0
MAGI2	0.016793622954408838	0.0	0.0	0.0	0.0	0.0	0.005449065092187907	0.0	0.014897693904564297	0.0	0.014584459525006933	0.002825492287878176	0.0	0.0038496609952674453	0.0072193185898710415	0.006582122696575433	0.0	0.010138012021165883	0.0	0.0016621444261682398	0.00696570100701477	0.0030892477217329163	0.011932742000496786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004758863173062975	0.0	0.0	0.0	0.009733042493988745	0.004419141385374842	0.002323282007953941	0.010028129533266759	0.0	0.007942341266793083	0.0
