	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
HP1BP3	0.0015271138557120204	0.0	0.000517415586553207	0.0007057076280549587	0.0006463116076315894	0.0011251910249029204	0.0	0.0	0.00015705524314467675	0.001364317844425291	0.0022915873109982375	0.0011833973585689127	0.0004242392782027772	0.0009773190989519737	0.0	0.00014031018342042836	0.0021181580655111956	0.0011270269109122848	0.0	0.0003563589084869052	0.0004217492714395593	0.0010947048549517786	0.0015432826696406084	0.0018380011917449926	0.0	0.0006929685096673372	0.0005323589392541985	0.0	0.0014792811922640008	0.0011413282938201388	0.0006032847901124398
C1QA	0.000674878926576187	0.002748806893344136	0.00012659826580367444	0.0011212941735296207	0.00014684272096302314	0.0010232787797300657	0.0017774454698597127	0.0007550016686843941	0.0	0.0005339891143048981	0.00020830041121366397	0.0009049493069991484	0.00020465730093020384	0.0	0.000632836941088056	0.002394815004406089	0.0012286095154826723	0.0006908716080460159	0.000408444900291615	0.0008630145000834714	0.0007662758123219239	0.00023540898110518325	0.00011028770206618818	1.6305946149614274e-05	0.0012098105074520714	0.0	0.00037037597421857153	0.0009115198239274723	0.002543895057673039	8.184171109697792e-05	0.0
E2F2	0.0013317917122721774	0.0009392134554121571	0.0008772375448988136	0.0	0.0	0.001479449835783801	0.0007511107230094813	0.0014772955216192287	0.0012563085983587226	0.0006095572705293734	0.0	0.0010854544540451413	0.00038714833568595253	0.0009062347760417827	0.0	0.0	0.00029333220800990817	0.001147987142674044	0.0004608162023486644	0.0010155705472694163	0.0014878641707628533	0.0014452537117418107	0.0014453202414721324	0.0008309018316881527	0.0006774988629887753	0.0	0.00025138019502281224	0.0016628114892457684	0.0	0.0009577546036574976	0.0008583983813556967
HMGCL	0.0011872616081747558	0.00042954967519282335	0.0007425462234488306	0.00011165183986642126	0.0005918850514834139	0.00111187371934624	0.00019461284548833268	0.0	0.0007912913303824427	0.0015427773538432814	0.0010677742579584069	0.0013843460561128729	0.0	0.0015605927635165295	2.451234012721405e-05	0.0012244578059756775	0.0008100040555790639	0.0	0.0012670332704144576	0.001247591869397371	8.839216210666067e-05	0.0004733801226857349	0.000646615545979186	0.0	0.002208247004802368	0.0015956640480924587	0.00030292391900320516	0.0013997903989438122	0.001454192820571781	0.0	0.0005351183569957934
GRHL3	0.001360970691759035	0.0004823405460566204	0.000446118649741447	0.0003010146502952094	2.329235180957399e-05	0.002508189857852911	0.0006953293033524286	0.0001515145681641371	0.0008559066888356765	0.00107412587930696	7.195766305783656e-05	0.0	0.0	0.0004782015744560907	0.0012840905996102888	0.0015578159301697701	0.0	0.0003612979930627019	0.0	0.0008979718690013501	0.0020027304696797073	0.0018859626044554817	0.001674703767008444	0.0004009543104610436	0.0010003054568264386	0.0	8.980277061801393e-05	0.001997461057056099	0.0015243127181169289	0.0005016044580496962	0.00030894877203292947
RSRP1	0.0	0.0011799626061513937	0.001127650161965511	0.0017633628863190458	0.0006627481224720791	0.000237420778950085	0.000130770384782248	0.001077631843436066	0.00029859549343131433	0.0013202431748524813	0.0006377175986095701	0.0016981323376186318	0.0003182750225755143	0.0009923696979532198	0.0016488640572973779	0.0011964158535043468	0.00027394331146365816	0.0	0.0014537728883522063	0.0	0.0002607028397987359	0.00041610958756796814	0.0011490677551919922	0.0	0.0005951459182934283	0.0009663829663906499	0.00208336924188393	0.0	0.0002676236253972481	0.0008833035067557227	0.0010903549091529825
EXTL1	0.0	0.00016810452779585498	0.0007355494073453247	0.0011112257389634943	0.001353711677445204	0.0	0.0	0.0009335602930116277	0.00043185584524627936	0.0016297074427211	0.00011634255375791652	0.00045398609069887314	0.0002345537647031481	0.0019038403747645702	0.0022404585928924286	0.0005202370807470516	0.00016934046690974248	0.002264659260418481	0.0014567674105226169	0.0005405280901306824	0.0004232846965236848	0.00017535156822418054	0.0010973856438481365	5.249751595926816e-06	0.0015141107631225187	0.0023085457785829806	0.0004889401511555829	0.0	0.00010060354122221617	0.0007392367574454746	0.0012390645274720877
SLC30A2	2.367556231483532e-05	0.0009044327491748784	0.0	0.001563674884817478	0.0	0.001265915511861086	0.0004967045030189459	0.0	0.0008270394875515007	0.001436094693687067	7.196965266381599e-05	0.0013494277625537743	0.0011354412561483348	0.0010129786954245943	0.0	0.0010569134581560596	0.0017957712558242327	0.0009768683673380847	0.0017540735546842294	0.00022636246355815806	0.0005417901764519671	0.0	0.0010960995955999503	0.0	0.001691285564697531	0.0016022326960437316	0.0002849125677521032	0.001044556014634687	0.0009731451938597431	0.0	0.0013618724000748021
FAM110D	1.572058792397284e-05	0.0	0.001901920163020417	0.0	0.0008418151297188953	0.0007415178527453863	0.0	0.000548219254224826	0.0010363915758211234	0.0007727672840463011	0.0005054231714381659	0.00029627575947907835	0.0019767593396247717	0.0008139488979756897	0.002798315494637785	0.00028614403867441627	0.001404038362322178	0.0008876849266291162	0.0	0.0009621253076996203	0.0011369018341590394	0.0010442124602557063	0.0005704518997103922	0.00041423469215681865	0.0006342716250493224	0.0021397263680653627	0.0	0.001333389295419028	0.0	0.0006653449590570764	0.00040238990021203936
CEP85	0.001619297969249429	0.00160036056428382	0.0	0.00020175871668887623	0.0004007114340589883	0.0015292061776279143	0.00032965389331828426	0.001528725807452875	0.0014994162949277076	0.0001489678390743168	0.0006850748491937493	0.0	0.00043012895823942525	0.0016173841554250079	0.00020296493659766854	0.000871463840566715	0.0009471699409275117	0.0002874247451176185	0.0004423046473996785	0.0008210408247113005	0.0006217070450511962	0.0014690671289141607	0.00026121767747221993	0.0018534651932279606	0.0008943907677435573	0.0012159079785438217	0.0004998463275701495	0.0	0.0	0.0	0.0
