	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
ARHGAP1	0.0	0.0	0.0005472145472800987	0.0012194162316874588	0.0	0.0036936780497964523	0.0	0.0021404922763923907	0.0	0.0031615130294154496	0.005055851924789736	0.00428997235116094	0.00529848486160473	0.001445049707685146	0.0	0.0009960298741809616	0.0003685193788742401	0.0038342155132840066	0.004141599181155153	0.0015616822929631058
PSMC3	0.004829625369596654	0.0013899197978843915	0.003474832195477366	0.00013273235715210971	0.0005682930722011916	0.0	0.002476225843456999	0.0008081142050586165	0.0	0.0038098446983835803	0.0	0.0	0.0040942287090970945	0.0011377882147610755	0.0	0.0	0.005620877005379066	0.0	0.001190193859760339	0.002608007488470072
FAM180B	0.002313604525174772	0.0029635837788779956	0.0025743978971573497	0.002843722750050865	0.0008022524899698526	0.0	0.0019049780607413066	0.004470010212199553	0.0	0.00011575722560666796	0.0	0.0	0.0013826820160117662	0.0021714570434329923	0.0038064870974353366	0.0	0.00332497916165376	0.0008173761926236399	0.0018884216565959546	0.0
MS4A13	0.0009844771880343456	0.002883825634205738	0.0040214704225630515	0.0034493861794318323	0.0023233340523894333	0.0	0.0	0.003985296279297315	0.00024574193964325947	0.0	0.0	0.0015108997002687753	0.0	0.003912268098187567	0.0012431128573134834	0.0	0.0011740989104928768	0.0010223955864921185	0.0045246185214772566	0.000734544028259023
SDHAF2	0.0035296961073125214	0.00025221506566121423	0.0020808218122826093	0.0021988708965491963	0.0	0.0	0.00409589047467469	0.0023375476584730935	0.0032100512776557224	0.0	0.00010109655396692353	0.0	0.0	0.0029464093802602136	0.002102172961940896	0.005888871657303868	0.0010823249444237384	0.0	0.003610197969931903	0.0
NAA40	0.0	0.0021932132227588702	0.0005226535980364811	0.0	0.004736194094583874	0.0010367866953292664	0.0032055322373891002	0.001147112137626838	0.0	0.0	0.00048070826937126574	0.00398059828498331	3.472353816217821e-05	0.0037675127019944307	0.002290442669089463	0.0024774718710750478	0.004448110837355872	0.0	0.0033194082936818295	0.0020147630207756153
PPP1R14B	0.0029805382400311343	0.0019392580574495843	0.005168642042165	0.0011398443862094929	0.0009314637633573086	0.0	0.0035346925257314756	0.0017298971383449397	0.0	0.0034583060268848437	0.0	0.0	0.002545838769560306	0.0	0.00080849262071941	0.002875714487355842	0.0004326780355621102	0.0	0.0015027548170477676	0.0010228050379119716
ESRRA	0.001280612223815337	0.001846152642490053	8.728921956560093e-05	0.0	0.0008138412228390422	0.0013439955357567705	0.0025281871771923223	0.0006116162536880269	0.009392869077367838	0.0	0.0	0.0004893731388783076	0.0	0.0	0.003577906762526553	0.006670696220351094	0.0007205623676892676	0.00047642126784084503	0.0016182868822335814	0.0044193169591653664
CCDC88B	0.005408250925235242	0.002332096880580417	0.003857211414292751	0.002559209515282413	0.0	0.0	0.0	7.814746481654102e-05	0.0009906183284253006	0.001536003252186304	0.0	0.0	0.001105791979245839	0.0015336603915174392	0.0022969997945135314	0.0007128955039258844	0.004663381054623011	0.0014055185098984537	0.0001080100507662411	0.001962450255022155
VPS51	0.0	0.0	0.001094395029535329	0.0021878326109206958	0.001091339358344874	0.0	0.001486378693557081	0.003770900717117678	0.00046895903765458715	0.0010236830666899965	0.007015009887810519	0.004711433880929638	0.0	0.0001297690538077019	0.004445975499739204	0.002267809166899558	0.0016578298210539288	0.0030490355932747512	0.0006970212421959244	0.0
TIGD3	0.0	0.0	0.0	0.0036543886371573865	0.0018581561181012993	0.0018163603604597403	0.0010419619876460642	0.0	0.0008559910257378375	0.003974063006047781	0.004976854406755772	0.003218436242262213	0.0004841047223283141	0.0	0.002682473612231512	0.00016536572677186938	0.004088713402983175	0.004455072276467887	0.0024928093000344265	0.0005357248992643215
SIPA1	0.0032223631201272244	0.0007789573767389609	5.33358856428608e-05	0.0017315341732481978	0.0	0.0	0.004934353019375188	0.00352688860825288	0.0006096740926424267	0.0026196057811800053	2.6970799647028292e-05	0.0	0.006652937837207053	0.0	0.0	8.695149442370781e-05	0.0006540484255746477	0.0042359161276332245	0.002022000633483232	0.0032271004076466995
PACS1	0.0036207931493831024	0.0025221981545330108	0.0031541588508586012	0.0016966347962285768	0.0024154317678560335	0.0	0.001958806607018287	0.0019465665307956622	0.0	0.0	0.0	0.000220616169060294	0.0	0.005109046532832867	0.0	3.598514902261724e-05	0.0026773937402563464	0.002216078516916022	0.0025020361006687624	0.0009114893549553798
RIN1	0.0	0.001383419053060947	0.002723557241834662	0.002004200457457315	0.0	0.0	0.00566543201562916	0.0026117598113181697	0.004808390281024225	0.0017616894171877133	0.0	0.0	0.0	0.004771204593936815	0.0027106135667656506	0.002504136715228224	0.0018172585015715195	3.771779918445037e-05	0.0	0.0
TMEM134	0.0	0.0	0.002991539119216147	0.0011234355551102309	0.0	0.0034464388411000447	0.0006264501672405495	0.0	0.00628735932594905	0.003758592201806393	0.0023732031507097827	0.0009081172701694084	2.2582204956793485e-05	0.0004958398373696056	0.005656540097985553	0.002075523972270424	0.0	0.00042861913291413693	0.005355662313067387	0.0
C11orf24	0.0017573472648024938	0.002894262717179551	0.00439585202063612	0.0032227478246923593	0.001670851812032602	0.0	0.0009187152264749942	0.003463668667466612	0.0006941749126317446	0.0	0.0	0.0	0.0009311207775026333	0.005073412623760428	0.0	0.0	0.0017580100752730623	0.0007684677818129484	0.00213627033965504	0.0008872302583915293
PAK1	0.002776243408950527	0.0	0.000888963187745927	0.000543820051462551	0.00249670961980409	0.004058094707938747	0.0	0.0	0.0019566992277692944	0.002341159459894742	0.003235626351681543	0.004676673210256121	0.0	0.0	0.0	0.004255603123544196	0.0008450246677334945	0.0019465368735772925	0.0009192501409812909	0.0038753695165274827
CLNS1A	0.0034416245238767526	0.0013172749686188	0.003252372108157931	0.00368952419586554	0.0	0.0	0.0014700837469890377	0.0015181314079799613	0.0	0.00021428010016074272	0.0	0.0	0.0024713118183594825	0.0022237737978381897	0.0041077625158433195	0.0	0.00153807704630882	0.0	0.005216594424611124	0.0036734341786938446
FDXACB1	0.0	0.0016685607474377188	0.000905207179162315	0.0005988354183828916	0.0046064773695562175	0.0005274419279053928	0.0013327845922484632	0.004093937948451815	0.0	0.0	0.0020657387478408445	0.0020873280219998974	0.006730134448628061	0.0007069504740891846	0.001980483429917602	0.0	0.0	0.002435275393397492	0.0029006369887140194	0.0023635662776421594
TMPRSS5	0.0	0.00376575188275333	0.00030200899008397166	0.0007733451901306141	0.0	0.0028645810070181982	0.0	0.00022920375604095449	0.007423348107159805	0.0027221693931364054	0.0006101549194600694	0.0017242456040003136	0.0003061384382407079	0.0033740232989514472	0.004529455104281099	0.00426052562041947	0.0	0.0	0.00019788377502662883	0.0003084741362159539
FXYD6	3.872902684400153e-05	0.0	0.0009268974317104706	0.0016092302114908209	0.0	0.003617733735292369	0.004334223420670037	0.0	0.0044465798560431	0.003985287764007654	0.004010250913290762	0.0	0.0029365096378979514	0.002849010317441982	0.0	0.0	0.0023412718594760518	0.0027290791430546325	0.0010170796520105082	0.0
TMPRSS13	0.0010196068765396422	0.0	0.0008483088551945305	0.00011385263183603887	0.0019235238804701244	0.004340962996310424	0.0029477081982931487	0.0005142757638542495	0.00027322514908402495	0.0029474570915224746	0.0035365268999846926	0.005557191925072861	0.00450967296799189	0.002340102491392832	0.0	0.0	0.0	0.0022915334087156188	0.0	0.0008312342418338182
NLRX1	0.002163161210572561	0.002816646076679474	0.001230904317009984	0.0011831133220942909	0.002175445514640918	0.0	0.0	0.0023803962749214327	0.0034654493062769172	0.0018560649991090023	0.0	0.0	0.004957657515813084	0.0	0.0014412780702441708	0.0	0.0	0.0017469013625202312	0.0042169996323898834	0.005484562182471167
ARHGAP32	0.00034966930309171475	0.001798680584590585	0.002400007249137556	0.0013358002013467236	0.0005631540433319462	0.0042179632309479525	0.0	0.00015655868541208294	0.0005571444556082178	0.000989099355428427	0.004636996400537656	0.005693114822734535	0.004263827000195	0.0	0.0	0.0	0.0015419303827485518	0.0029857945722729607	0.0020658822007331656	0.000353364241431599
RAD51AP1	0.0028667503448307563	0.004089646195590384	0.0005821477053684652	0.0032954687119885577	0.0007302615268303467	0.0	0.0005975876318295462	0.0007662707082646422	0.0	0.0	0.0	0.0030228757308058984	0.0014059642275506426	0.0020324339642087104	0.00312371535888836	0.0008943217004662787	0.0	0.0030215889855557906	0.002492359285494868	0.005005710955919231
NTF3	0.0	0.0008515330562941483	0.0007959763356402593	0.0011920099924487416	0.0	0.005158016312861476	0.0002350166787815242	0.0007742249188330313	0.005079744182745103	0.0033502172946733586	0.002557756410837533	0.0024963927712265024	0.0011615762968564696	0.0	0.002496330143281382	0.0	0.0013442449874844714	0.002637738505180222	0.004396284875541204	0.0016700561146373366
KLRC3	0.0	0.0021423914102879893	0.0	0.0	0.0026261207194969256	0.004872414679406004	0.0	0.0	0.005481638223289661	0.0006912039354354763	0.0006679930978799265	0.0	0.003060557914251094	0.0027501565721045796	0.007520227962396897	0.00029795174039592796	0.0	0.0	0.0023166317988158446	0.003981793370647132
TAS2R30	0.0011216401961662683	0.0016265310270146042	0.0015715458667019068	0.0006920530577092983	0.0	0.000694101298379892	0.0043901337618716075	0.002738532971636804	0.0	0.0026753515512558295	0.0006509214373572821	0.0	0.00462834048531373	0.00035470700839510173	0.0	0.0	0.005149475082163543	0.0013762118137825416	0.005239489071436275	0.003904629549298325
GSG1	0.0011898133151158488	0.0051629927433224625	0.0010335853118817848	0.0004916120067519306	0.0028760678676539413	0.0017293606423247052	0.0	0.001455912901108858	0.004466724595483128	9.990988982782036e-06	0.0	0.00391566981863266	0.0	0.0013412220871255518	0.0013830576934783128	0.00018021318445093912	0.0013715077857590048	0.0040429523717297735	0.0	0.0
SPX	0.0007034943434517713	0.0017808512164483293	0.0	0.001964924185367321	0.004663848900713387	0.0010436913354903948	0.0027622091606189824	0.0038650652374861054	0.0	0.0009337375613194913	0.0	0.005146548536998085	0.0	0.0	0.0	0.0	0.004864868335826316	0.0012175693764929652	0.0007927042196610005	0.004212981702546356
GYS2	0.001829259435713771	0.0031149459786076394	0.0020992364002718846	0.0019009748312242777	0.0	0.0	0.0013286883257619796	0.0006890332389348162	0.0014608629250004767	0.004912240778248189	0.0	0.0	0.0027860078899827868	0.00030777373470674554	0.0035134818470643663	0.0	0.004982685264093813	0.0013166173653353082	0.002275145622711796	0.0012919136314840378
REP15	0.0	0.0	0.0009595173987283073	0.00014095416397834996	0.0	0.00609308839670496	0.0034750162021158332	0.0	0.006919263770673836	0.0020975601281605894	0.0011890758045095802	0.0	0.0	0.0008348449379348019	0.005669754672998042	0.0021182170354129342	0.0	0.002421754872400276	0.0014902136680868439	0.003352796435225542
GXYLT1	0.0	0.0014569587086036317	0.0001809665307214429	0.0017141234227238565	0.0	0.00568733356415477	0.0042384739498655	0.0002448084304424995	0.003004472610966003	0.004151491215513212	0.0014728722607082131	0.00010667367838671905	0.00081550142408624	0.0006593883007096568	0.003991035917043817	0.0	0.00033664054727242543	0.0019706835745337175	0.0016316811227623802	0.0024189191443253185
TWF1	0.001605269539554797	0.004006618757430486	0.001980138014694576	0.0020730624878433778	0.0032773684157768744	0.0	0.0	0.002945224916712255	0.0001611819201343838	0.0	0.0	0.0015703288495991445	0.0	0.003287898969524937	0.0020842047918078715	0.0	0.0006401092985990967	0.0029346314196257305	0.002016796191683826	0.004205141028028096
SCAF11	0.0021673776326327715	0.0	0.0008457878022066647	0.0	0.00010150998640559427	0.00790539005841963	0.0007023422801766127	0.0	0.002396518470167033	0.0016918018363373225	0.0016362003599092302	0.0019357831655913286	0.0	0.0017538735485540333	0.00036707792175810365	0.008339602043151062	0.0	0.0	0.00285950917995251	0.0023441604765828917
FAM186A	0.003058244144459677	0.0008853030065218383	0.0	0.0006995253143577993	0.005700219830884332	0.0005366627246709009	0.0017368386132540505	0.0008484610415318516	0.0	0.0	0.0010446038399680366	0.0033537095144301424	0.004105224183783179	0.0024491054186326945	0.0012035860544439255	0.0	0.003155247003289068	0.0032369471414277337	0.0	0.0006345480994577815
PRR13	0.0011147070814166308	0.0036521437749960257	0.0017664949004885994	0.0017016919928795604	0.0	0.0	0.0	0.0009149500927183472	0.0014227855312704304	0.004902366496967511	0.0	0.0	0.0012109743928872595	0.0030982484660007853	0.0026984884499231714	0.00310447540934615	0.0062661584882645425	0.0007280033836461811	0.0002773576125937153	0.0005711269805272793
CALCOCO1	0.005862674936769598	0.0027278265523148224	0.0026857031972961263	0.0022015848606709264	0.0	0.0	0.0	0.001031439556172625	0.0008980606949388542	0.0013481415016362317	0.0	0.0011239318031434683	0.0	0.003497339515008161	0.002122111983900208	0.0	0.0031896215257895886	0.002116351645095276	0.00024249627117756841	0.0005081291839773563
STAT6	0.0025440145467910914	0.0033846567998060133	0.0037588442051552525	0.0019711164576645995	0.0010561418516702537	0.0	0.0037428721532484673	0.0021999432914629755	0.00039809963644615404	0.002882267556955048	0.0	0.0	0.0011499643141846996	0.002273843877071921	0.0005430303161772652	0.0	0.0021033562885283967	0.000985237824059111	0.0	0.00037555590427523885
NXPH4	0.0013983698737292946	0.004804788657203585	0.0017413895907342708	0.003838947249520824	7.25197211746851e-05	0.0	0.002281546410565019	0.002677803077163841	0.001406460292410589	0.0013435980040067332	0.0	0.0022048987081591384	0.0006436707202339657	0.0	0.0012553542874012584	0.0	0.0034274269074936617	0.0017033835905444173	0.0014782645399749538	0.0
INHBE	0.0	0.003279039538599563	0.0	0.004336254228033087	0.0004763578106702583	0.0	0.0019129985791394104	0.004156146498165641	0.0	0.0011331058944098948	0.0	0.0009109943550399554	0.0028527556756038183	7.386088559676847e-05	0.004103116164642823	0.0	0.0036410088272986504	0.0020794839694652342	0.0050417477478450065	0.000861264790042819
DCTN2	0.0	0.0	0.003202987840871693	0.0023862890268774124	0.0003852317742978892	0.005352995296035407	0.0025867767156003154	0.00030950175158365854	0.0	0.0016710288233163877	0.0021499388495936486	0.0005589062662212885	0.0035624038659285854	4.048748066178359e-05	0.005530181765123076	0.0015240696133622797	0.002177090478197349	0.0011624482729608813	0.0002488027813070603	0.0010657579168642673
