	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
FNBP1L	0.0	0.0031250287982454755	0.001363731189364134	0.0021460195665063513	0.000914691266021834	0.0006397782840396579	0.002127030754326349	0.0015352555499900545	0.0011110152344649502	0.006103325033268551	0.002652467476026163	0.0018509078911212377	0.0014372122785776893	0.0	0.0023657851940323475
SLC25A24	0.0013181333079694533	0.0021452293941904986	0.0014752599006944455	0.0025477287105321713	0.0	0.00133708444373494	0.000890372698208311	0.0022845185718536557	0.001775977715896968	0.002363104255989513	0.0022811607643687063	0.003009179313915874	0.0026241497476419784	0.0018152773935210583	0.0011599693620625373
STRIP1	0.003154183537489704	0.0	0.0004822962269642053	0.0033204363253088497	0.0032170011299759234	0.0027122636406556313	0.003263536772991007	0.002227813288215205	0.0006151273264727716	0.0002947945658698735	0.0017290766243934976	0.0	0.0	0.003153909465272084	0.0015382037442387547
CAPZA1	0.0019418036907528607	0.0011651041407355484	0.0	0.0010022331753683045	0.0032521396525655682	0.007907594611382705	0.0	0.0036073431731563554	0.001653204138373183	0.0	0.0	0.0	0.000963519331249546	0.0024446994564558794	0.00262335013994155
LRIG2	0.00043201572034195135	0.0003160297816356473	0.000919318121308587	0.001539761870412394	0.002917473882270631	0.001195253842352033	0.001646422013433566	0.0028507343299724475	0.0027399726387843295	0.0027923636747910533	0.0020086082755124803	0.005303471516089162	0.0	0.003038803922439404	5.486196690504881e-05
OLFML3	0.0013845376186639793	0.004445654991841961	0.0008042800868355153	0.0017415100648327123	0.000504401005423162	0.0010802542897950182	0.003526823841941862	0.0013394280982048786	0.0	0.0022338568765631946	0.0012175430173112457	0.002842987486493776	0.00089255958704885	0.0004121390116357842	0.004251245102674067
TRIM33	0.003393853216208115	0.00042671259223467687	0.002385906695830494	0.0	0.0	0.0023567223846239597	0.0004291858573343823	0.0007077044004117945	0.002000425880626683	0.002180682050421164	0.0027736701772933005	0.0002403069540973886	0.006586192022780607	0.0008654621433365641	0.0035126369712256706
RNF115	0.001965323700047327	0.0	0.004486910777593173	0.0002358899824082406	0.0039688490784508725	0.0013010637204297403	0.00020333104197169333	0.0018952430149270017	0.005471053452649558	0.0	0.0009111739110169113	0.0	0.0015065312324115871	0.0022124965736523257	0.0011755609972040062
CHD1L	0.0006717359710968753	0.000976829157771023	0.0022636086968169226	0.0028919909325230957	0.0036751562032308793	0.0013483155905743558	0.0012607522594085484	0.0022430789224737136	0.0027694493107898737	0.0	0.0016211984157085506	0.0019308699539431408	0.0032085128460566793	0.0	0.0010938871298491395
CIART	0.0020144280375734196	0.0	0.003153122186083772	0.0016733988029855205	0.0022371167838934015	0.006511257611924997	0.0	0.0	0.002786978334366477	0.001600697364331691	0.0004953174042344365	0.0002465000616317804	0.0007233926476314445	0.0016027712225595158	0.003192184679564634
