	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
LRIG2	0.0004469022941163638	0.0	0.001468003725961862	0.0013424817319828892	0.0019500316601913307	0.0	0.001584799332518212	0.0038443166677286857	0.0008325192250241911	0.004658321332242585	0.002613774474083812	0.006306757089332492	0.0023817671627463575	0.0001513112635349826	0.0	0.0026331829188330023	0.0009120019091621312
OLFML3	0.001349654650786093	0.004858815552917583	0.0009634492641961776	0.0030678622979420363	0.003737386402013289	0.00017685004778003694	0.00022050630328934867	0.0013663011368113996	0.0	0.0020386235773310387	0.0009381284559946263	0.0009890593575525713	0.0005335389845635246	0.004155566125103882	0.0010992283723840444	0.0004208449009431925	0.003654106847007803
TRIM33	0.003452464680225555	0.0	0.0010368976882422884	0.0	0.0	0.002039711749078605	0.002212001322975449	0.0013149341790054106	0.003554520650958345	4.813402404827343e-05	0.0012178843890756766	0.0	0.0010451421209361142	0.006557413965268712	0.00602839272032931	0.0010025281516147487	0.0027923167604866927
RNF115	0.002076821627618119	3.490831774237315e-05	0.004702549850410178	0.0	0.0	0.0040446030175952455	0.0012493705711625282	0.0011116864676211048	0.00781582960087999	0.0	0.0010304590461787811	0.0008293493216048292	0.0010336407717601922	0.0	0.001920683012188225	0.0020615761272223766	0.0014905784835293142
CHD1L	0.0	8.888810570824914e-05	0.0006020725295220709	0.002081154833344451	0.0012905460626861016	0.005937518309380011	0.0019974151932479925	0.0012136364473827488	0.004029465729999274	0.0013706556938285145	0.00038723780575385016	0.002227915963022744	0.0036662530181347996	0.0016808624650606133	0.0018204549429082775	0.0	0.002404582189611112
CIART	0.0016200280257748685	0.0	0.0037200768937330052	0.0008494517786000337	0.0	0.002783453284818828	0.009209847618654591	0.0008055027492282465	0.0025198769992917725	0.0015272542318924395	0.00023403310484841123	0.00024140055690208536	0.0	0.0	0.0022969087819852854	0.0013503374418662962	0.0028016941908473292
GOLPH3L	0.0	0.006359110139147817	0.0006346205758462069	0.0020608025734931675	0.0	0.0	0.002046009774013037	0.004459959294723278	0.0	0.0008143919290198884	0.004279545601208207	0.0027684625550395453	0.0	0.004152757370456453	0.0010444037556334583	0.0	0.0027943074869154153
RFX5	0.0	0.002002475857680195	0.002105085211995908	0.0008152457336127975	0.0006701771484016092	0.0	0.0	0.004584057775964929	0.0029519503011023935	0.004731445317717754	0.0	0.0	0.003346397015804976	0.004272583722053591	0.002943991470928091	0.0003902637897662028	0.005514269780512295
OAZ3	0.00016551010930739292	0.003944004238851415	0.0	0.002726136389603774	0.00017434859395200957	0.0	0.0031805901412104917	0.003675089783050784	0.001907082773628247	0.00721499324680466	0.0016446756636030674	0.001515690471055684	0.0009096081490234396	0.0	0.0007210746490675147	0.0009429483473315174	0.0010042531418414946
LMNA	0.0	0.002811842854050733	0.002870155343645753	0.0002742503946898328	0.0	0.0020420923779706835	0.0008101435986828081	0.0034888242659692585	0.0006764362941117861	0.005446738424910658	0.0007335516798346298	0.0	0.0023600857089101724	0.0053633941838662135	0.0032073150710568927	0.0010820936673643785	0.0
