	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34
11619606	0.0	0.0	0.01870503803302842	0.0	0.0	0.0	0.0005218062565883857	0.02245077296670715	0.004346095876810104	0.01661719579638121	0.0	0.0	0.0	0.019130347822357948	0.020591859826860962	0.0	0.0	0.0	0.0017409114802244424	0.0	0.0	0.0	0.0	0.0	0.00918980932395466	0.0	0.012204988538408392	0.0	0.08293713755907041	0.0	0.0	0.04385560725502568	0.0	0.007294225692645423
11652071	0.0	0.010518815657277773	0.0	3.521481533424097e-05	0.0041736600503454934	0.0	0.03530509674631082	0.034126366812137446	0.0	0.042167551593843056	0.0	0.0	0.0	0.021036927779448458	0.016786391547561574	0.0	0.0	0.0	0.0	0.0	0.0	0.019512696044166545	0.0	0.0	0.0	0.0006118874312411319	0.0	0.0	0.0064544702223589085	0.0	0.0	0.0	0.0	0.0
1243685	0.0	0.011079285652172064	0.0	0.0	0.045524863446181764	0.0	0.0	0.0	0.0	0.003567074254769812	0.009438355560569526	0.0	0.02898986842897976	0.0	0.0	0.0009255889181959744	0.0	0.013149692006106684	0.0	0.0	0.0158115363313215	0.0	0.0	0.0	0.03338766004458153	0.0	0.0	0.032817499022449084	0.008155112359575912	0.005270472836349177	0.0	0.0	0.0	0.0
14498577	0.0	0.013445948604897812	0.0	0.0	0.014989896203878092	0.008194255808772012	0.010398881262530536	0.017731385501393065	0.0	0.0	0.0	0.011919950018020362	0.0	0.0	0.011079484428112652	0.012852862137235795	0.0	0.016250401414031914	0.0	0.0	0.0038274379361727924	0.009685248640170268	0.02203870775949399	0.03259276943358959	0.0	0.01996929095187561	0.0	0.0	0.009177812145551877	0.0	0.0	0.010001932400021089	0.0	0.0
14641578	0.0	0.0	0.007520466573793702	0.0	0.006442288132024088	0.0036803530559018378	0.019484375527739753	0.0	0.0	0.0	0.017702267908278904	0.03209983916603724	0.012209057358961243	0.0	0.0	0.0	0.018863185870439638	0.0	0.01921300325711518	0.0	0.0	0.0	0.0	0.0	0.0305780632157645	0.03237258649164172	0.0	0.0	0.0	0.01872686838923101	0.0	0.0	0.0	0.009038566864911125
15387421	0.0	0.0	0.02823407716007456	0.0	0.0	0.0	0.0	0.0	0.01193757953309539	0.0	0.0	0.0	0.0	0.0	0.07149994985676035	0.0	0.0	0.023185972563397616	0.009932663787200938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006888391303139366	0.0	0.0	0.0	0.07861517019429957	0.000683937315915329	0.0	0.0
18414513	0.0	0.03270750663783363	0.0	0.0	0.0	0.0	0.007275586293217113	0.0	0.0	0.0021369521387344325	0.021685404266548133	0.0011162486137820495	0.021839230042025506	0.0	0.0	0.03145892027546448	0.01807425925620164	0.0	0.0	0.0	0.005729076053629212	0.0	0.005431035933160648	0.001555541445370826	0.012211242483889183	0.007367056942080168	0.0	0.0	0.0	0.03233458328817009	0.0	0.0	0.0	0.0
20112377	0.0	0.009140950141696481	0.012096317386362458	0.0	0.005726437167017449	0.0	0.00028111051017035534	0.004721538967362089	0.02042571247126962	0.0	0.003319692620883347	0.0	0.041007433753680024	0.0	0.0	0.005544901939517719	0.003927376486574859	0.013365757077791135	0.0034648632098141998	0.0	0.022000722887104435	0.0	0.0	0.0	0.0	0.0	0.03015616414669252	0.0	0.0	0.03504382741236646	0.0	0.0	0.0	0.0
20120255	0.0053076544496566316	0.0	0.033954892258804915	0.041884651498090716	0.015779493555281632	0.0	0.006693606390430537	0.003791095340363886	0.0	0.0	0.0	0.0	0.0	0.01181012755303559	0.041622372486049684	0.0	0.0	0.0	0.0	0.028437298453297007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20124619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024463125549152823	0.0	0.015927370245593372	0.0	0.0	0.0	0.0	0.004079225195555718	0.007714731269383694	0.006739412054830943	0.0	0.0	0.014883907465699928	0.0	0.003886285557163804	0.0	0.1281668674682068	0.024822570787010324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20139562	0.0	0.0	0.029906361196824605	0.0	0.02901619749485319	0.0	0.023252094035893824	0.013831082670491674	0.0	0.0	0.0	0.00012004882811049927	0.01823887742505933	0.0	0.006306524072317439	0.000987962759055533	0.0	0.0	0.025799788374787937	0.004013792875163582	0.0	0.0	0.00887487393058771	0.02136671558177614	0.025003986213381665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20147440	0.0	0.013898082370128406	0.008464930137130513	0.0	0.0	0.005645786115926194	0.0	0.0	0.009996170164041588	0.0	0.0	0.0	0.015373691852495317	0.0	0.017085092191333598	0.0	0.04473098119197073	0.0	0.0	0.0	0.0	0.012223709638868159	0.0	0.0	0.0	0.009321621866800621	0.044741061992787004	0.0	0.0	0.00044730323067232366	0.014422742684108916	0.025612147584651662	0.0	0.0
20152393	0.0	0.0	0.002943372812798264	0.0	0.0	0.0024037567769990874	0.04241007000206142	0.017562784338132315	0.0	0.0	0.0040006046585849015	0.0	0.005782237919105323	0.030268530091885567	0.0	0.0	0.0	0.0	0.026866806327032818	0.0	0.029558014678805658	0.0	0.0	0.0	0.02420340066938136	0.0	0.0	0.0	0.0350851534496262	0.0	0.0	0.0	0.0	0.0
20156469	0.0	0.0585119048855864	0.0	0.0	0.007043730529629829	0.005030387677123711	0.007875383774113922	0.012667161207014535	0.0074955253044435175	0.0	0.004220371096716682	0.0	0.0	0.017759233353590774	0.0003371896585679628	0.01654942833877401	0.007585033592227537	0.00022649882291820106	0.0	0.0	0.013655571315636451	0.0017699455222192153	0.0007702439479428335	0.0	0.0	0.0	0.0	0.0	0.005932750718234911	0.005511231185595015	0.003937847010719191	0.0	0.01641912985110319	0.0
