	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34
STK16	0.0	0.0009644915426212832	0.0	0.00021718789246897717	0.0	0.0024022675426831554	0.0	0.000448761583550333	0.0015969369604467978	0.0014047179179194928	0.0019084921493494166	0.0003390759424320882	0.0007934853127076287	0.0	0.0	0.0019253197098829582	0.00237826438116081	0.0007734833773030144	4.860021084829134e-05	0.0	0.0003296096997236954	0.000777291312261497	0.0006944885716970364	0.0010679563974200217	0.0	0.001376753236484526	0.0011186705533677138	0.00011753682794455201	0.0014620191020593553	0.0017265294472570462	0.0009048278816295334	0.0	0.0008452151911479878	0.0008878696366555138
TMEM198	0.0015974744589917652	0.0	0.0	0.0009416888010227908	0.0	0.0007857012797669499	0.0	0.0013332261968123731	0.0	0.0	0.0	0.0014621679937186624	0.0	0.0	0.0006127747144924863	0.0011036440357251956	0.000545845479299888	0.0033687939450842523	6.17540726770214e-05	0.001000251602918422	0.0009016318811614774	0.002629782288445929	0.0006890442390647748	0.001170155723488844	0.0001470780647946163	0.0010490522844222288	0.0004083075633807195	0.00011348318758138365	0.0017385233146234441	0.0018694585850026807	0.0012085201491425757	3.643888143136565e-05	0.0019216268813130387	0.000764317089457192
COL4A3	0.0018637643342779681	0.0	0.0009518672488155339	0.0020031983697036365	0.0009939398437935766	0.0	0.00047936221597686556	0.00226749602105293	0.0	0.0010861077302282748	0.0	0.0005843076300766977	0.0	0.0016621238167071927	0.001691998612980901	0.0018185506951003123	0.00042842911017798807	9.219228720827532e-05	0.0009116550930822968	0.0012633876572441171	0.0019282542353084792	6.343087180829988e-05	0.0006355322753208736	0.0	0.0	0.0	0.0	0.0	0.0005669132689621134	0.00025660247776533525	0.0	0.0008974776832887286	0.0013666329783623508	0.001962974600074696
SP140L	0.001417771568141494	0.0	0.0012405994008396041	0.0014680314568489626	0.00298133555373255	0.0	0.00039975479051466316	0.00028223854569189833	0.0	0.002718560774450501	0.0	0.0014444574717940568	0.0	0.00024974061339751966	0.0001810913086038091	0.0	0.0008004632032721352	0.00046475971510423145	0.0009839517720434626	0.00043099132289506543	0.0013177061040796601	0.0005845074109464269	0.0016330576188277593	0.00024350034548160186	0.0013960093362071202	0.0002353265179901053	0.0	0.0006548430131562926	0.0002217156372835567	0.0008723596707753794	0.0	0.0009404318248692008	0.0008148948198166273	0.0016435671543406007
ARMC9	0.0015250165784427485	0.0004278799996310282	0.0008238932562651259	0.001689338787846597	0.0006534730600455151	0.0012078538524188996	5.789204269691791e-05	0.0	0.001079172826435791	0.0	0.0	0.002003538746286004	0.0	0.0010223119689231933	0.0018647213479929838	0.00018435513787628123	0.000752700693443412	0.00108066521822258	0.0	0.0	0.0022873849233216166	0.0009443871311131979	0.0013788615680447216	0.0004535398785245431	0.0	0.0022513324180037995	0.0	0.0	5.430459065703004e-05	0.0009110612719739652	0.0	0.0017209839403091263	0.00014942863935588118	0.0012780360257269184
NMUR1	0.0017117449122918292	0.00031879439701123233	0.0	0.0018224909093250182	0.0009617942948075894	0.001517603823101323	0.0020665514582015637	0.000713095267722696	0.0	0.000511292846013416	0.0	0.0006244639822563354	0.0	0.0	0.0006611830188192359	0.00011326454195128114	0.0011409321571481054	0.0018172348221281648	4.339833846470728e-06	0.0011961066361865537	0.0017748312099396413	0.0004110875714297465	0.0006219241308218269	0.0011372123065546411	0.0	0.0	0.0	0.0	0.0006861524778833861	0.0013669923476798812	0.0015684856852450908	0.0019858107212163633	0.00029841280391526207	0.0004266145026922821
IQCA1	0.0	0.00012731915022161987	0.0011321996893359752	0.0	0.0010624016969204603	0.0	0.0014684059487907247	0.0	0.0019861956794158674	0.00014483771049074177	0.0012154365817657834	0.0001410623338155038	0.0008080637088501665	0.002322706915495093	0.0004158135770985747	0.0004608963588564618	0.0009810399908637669	0.0	0.0	0.0015943613379063848	0.0006030512061787562	0.0012520917714466313	0.0006098413727090224	0.0	0.002566014657688444	0.0006426366040737477	0.001937677965872952	0.0017178860653590542	0.0	0.0009137526544264887	0.0007222571422843927	0.00020374840030369364	6.97391480805663e-05	0.0017663835026092774
HES6	0.0015619003442103097	0.0	0.0	0.00166631218241361	0.0009647345434732412	0.002153058987878896	0.0	0.0015884326715075148	0.0003349127746308342	5.173561100691864e-05	0.0	0.002416715892492101	0.0	0.0009039495971238486	0.0005995678135399514	6.489656518385219e-05	0.002296696547993686	0.0003640197973312643	0.0013871363165425248	0.0007295632419908755	0.0020047268412345678	0.000260851955558507	0.00046891759428933406	0.0012292507288071447	4.046869506604974e-05	0.0	0.0	0.0	0.0012503552750904403	0.0012666772083818737	0.0	0.0002400934203584881	0.0008206389381828248	0.0008273829563163769
PER2	0.001780630911230125	0.0	0.001246472353711993	0.0007154001693359351	0.002145705866258237	0.0	0.002696156519612634	2.365400238313994e-05	0.0	0.0012999797377718047	0.0002289599615830586	0.00011413078573662016	0.0008937970694947597	0.0009508580737179046	0.0	0.00014226738514508717	0.0002992239102253935	0.0	0.0002372093171792454	0.0021584053724164596	0.0011596548196727524	0.00034700853442294887	0.0011502190251138564	0.0	0.0025031823863920113	0.0004838511782676356	0.0	0.0014618050983705667	9.352670501822736e-05	0.00011401335070158506	0.0009733640664978113	0.00022679385651827724	0.0003302012861720877	0.0009809481378314625
HDAC4	0.00041080383440789597	0.0016476043802781685	0.0020952370438124027	0.0	0.00023722947371785237	0.0	0.0007165741121219787	0.0017299193594855105	0.0011600011386429599	0.0	0.0005475678748247599	0.0	0.0024685350926102563	0.0022231795366425447	0.0008624903561280605	0.0	0.0	0.0	0.0017264363035516123	0.0	0.0015143986171395007	0.0	0.0	0.001519769565683799	0.0017269461658734892	0.002111612820405153	0.0	0.0	0.00032010506140415915	0.0	0.0007322793188336328	0.0009602605788091155	0.0003791008617337965	0.0006359423513898799
